disease_name_ab,study,f1,auc,cms,AUC ROC,Average Precision,F1 value,aupr value,acc value,mcc value
IBD_feces,qiita_2538,0.3390701500137087,0.8473018147086915,"[[  3 357]
 [  0 349]]",0.7885,0.7794,0.6989,0.7809,0.7094,0.4617
IBD_feces,PRJNA324147,0.7710529919211283,0.860377358490566,"[[45  8]
 [11 24]]",0.7162,0.6506,0.6777,0.6461,0.6818,0.3668
IBD_feces,qiita_1629,0.0906095551894563,0.8907627583683921,"[[ 55   0]
 [497   0]]",0.809,0.974,0.5228,0.9742,0.9004,0.1401
IBD_feces,PRJNA450340,0.2658959537572254,0.9092860976918948,"[[46  0]
 [81  0]]",0.8837,0.9378,0.7635,0.9377,0.8031,0.5657
IBD_feces,RISK_PRISM_f,0.0597269624573378,0.6297895902547065,"[[ 35   0]
 [516   0]]",0.6563,0.9626,0.4831,0.9628,0.9347,
IBD_feces,PRJNA368966,0.4202898550724638,0.8357771260997067,"[[31  0]
 [30  3]]",0.7434,0.7942,0.7185,0.7924,0.7188,0.437
IBD_feces,PRJNA422193,0.5387931034482758,0.830378726833199,"[[ 5 29]
 [ 1 72]]",0.8185,0.907,0.6698,0.9067,0.757,0.3907
IBD_feces,PRJNA431126,0.5287099179716629,0.7652273675427618,"[[  2  32]
 [  0 282]]",0.5712,0.9137,0.524,0.9137,0.8924,0.1434
UC,PRJNA324147,0.1964285714285714,0.6811320754716981,"[[ 3 50]
 [ 0 10]]",0.4547,0.1538,0.4506,0.1375,0.5238,0.0207
UC,PRJNA398089,0.3879109225874867,0.6276455026455027,"[[39  3]
 [34  2]]",0.6591,0.5828,0.5185,0.5691,0.5641,0.2522
UC,qiita_1629,0.1388888888888888,0.8482517482517483,"[[ 55   0]
 [286   0]]",0.7604,0.9473,0.5229,0.9478,0.8446,0.1839
UC,PRJNA450340,0.5551108374384237,0.855072463768116,"[[12 34]
 [ 0 39]]",0.8384,0.8105,0.799,0.809,0.8,0.5982
UC,RISK_PRISM_f,0.4465781609758487,0.5611111111111112,"[[29  6]
 [73 35]]",0.664,0.8603,0.428,0.8603,0.7483,
UC,PRJNA368966,0.3263157894736842,0.8260019550342131,"[[31  0]
 [33  0]]",0.8436,0.8732,0.7117,0.872,0.7188,0.447
UC,PRJNA422193,0.6523809523809523,0.7843137254901961,"[[33  1]
 [23 16]]",0.7613,0.8048,0.6297,0.8049,0.6575,0.3224
UC,PRJNA232056,0.7785714285714287,0.8045454545454546,"[[18  2]
 [ 4  7]]",0.6227,0.4498,0.676,0.4131,0.7097,0.3536
UC,PRJNA431126,0.206060606060606,0.804426925409339,"[[34  0]
 [97  0]]",0.7818,0.8898,0.7034,0.8887,0.8168,0.4705
UC,RISK_PRISM_b,0.2512097878686429,0.5967130589280426,"[[ 12 295]
 [  0 110]]",0.6077,0.3595,0.4713,0.3531,0.4748,0.1143
IBD_biopsy,PRJNA398089,0.5484151107251412,0.6932773109243697,"[[38  4]
 [61 41]]",0.7561,0.8755,0.7058,0.8746,0.7639,0.4131
IBD_biopsy,PRJNA317429,0.5559290382819795,0.7866261398176293,"[[45  2]
 [27  8]]",0.6818,0.6457,0.6088,0.6419,0.6098,0.266
IBD_biopsy,PRJNA232056,0.2272727272727272,0.65625,"[[20  0]
 [48  0]]",0.5182,0.7017,0.5029,0.6886,0.7206,0.1757
IBD_biopsy,RISK_PRISM_b,0.648187134502924,0.7423767028647534,"[[144 163]
 [119 534]]",0.7316,0.8473,0.5933,0.8478,0.7229,0.2829
UC_feces,PRJNA324147,0.136986301369863,0.6981132075471698,"[[ 0 53]
 [ 0 10]]",0.5896,0.1896,0.4881,0.1697,0.5397,0.1532
UC_feces,qiita_1629,0.1388888888888888,0.8846153846153846,"[[ 55   0]
 [286   0]]",0.797,0.9454,0.4735,0.9459,0.8387,0.0707
UC_feces,PRJNA450340,0.7571428571428571,0.9158305462653288,"[[40  6]
 [14 25]]",0.8066,0.7889,0.7033,0.7887,0.7059,0.4524
UC_feces,RISK_PRISM_f,0.5114906832298136,0.6103174603174604,"[[ 6 29]
 [15 93]]",0.6354,0.8428,0.521,0.843,0.7552,0.1445
UC_feces,PRJNA368966,0.3263157894736842,0.7976539589442815,"[[31  0]
 [33  0]]",0.804,0.819,0.6859,0.8187,0.7031,0.4368
UC_feces,PRJNA422193,0.6061938061938061,0.7692307692307693,"[[14 20]
 [ 7 32]]",0.7432,0.752,0.6729,0.7394,0.6849,0.3678
UC_feces,PRJNA431126,0.7113155121203412,0.739842328684051,"[[13 21]
 [ 2 95]]",0.6145,0.79,0.5279,0.7838,0.7557,0.2035
CD,qiita_2538,0.5531672387899593,0.7661413562559695,"[[ 96 264]
 [ 18 331]]",0.7251,0.7264,0.6237,0.7268,0.6446,0.3396
CD,PRJNA324147,0.7564674397859055,0.8837735849056604,"[[52  1]
 [13 12]]",0.8792,0.7808,0.797,0.7768,0.8333,0.6033
CD,PRJNA398089,0.6232996163236832,0.7427849927849928,"[[27 15]
 [25 41]]",0.8267,0.8698,0.7679,0.8687,0.787,0.5433
CD,PRJNA317429,0.64125,0.7787234042553192,"[[36 11]
 [17 18]]",0.7356,0.665,0.549,0.6623,0.5732,0.3005
CD,qiita_1629,0.1713395638629283,0.9545023696682464,"[[ 55   0]
 [211   0]]",0.9069,0.9748,0.7415,0.9751,0.8534,0.5035
CD,PRJNA450340,0.3432835820895522,0.9601449275362318,"[[46  0]
 [42  0]]",0.9203,0.9324,0.8601,0.9331,0.8636,0.7438
CD,RISK_PRISM_f,0.0732217573221757,0.6323529411764706,"[[ 35   0]
 [408   0]]",0.6846,0.954,0.578,0.9542,0.9255,0.2553
CD,PRJNA422193,0.9116883116883115,0.9878892733564012,"[[32  2]
 [ 4 30]]",0.9857,0.9859,0.9265,0.986,0.9265,0.8533
CD,PRJNA232056,0.3838847035702588,0.7094594594594594,"[[19  1]
 [32  5]]",0.5311,0.6482,0.5516,0.6306,0.6842,0.227
CD,PRJNA431126,0.6338349293205655,0.7860095389507155,"[[  9  25]
 [  8 177]]",0.667,0.901,0.6782,0.9007,0.8767,0.4259
CD,RISK_PRISM_b,0.5991816995688677,0.7460603115758154,"[[ 93 214]
 [ 52 491]]",0.7189,0.8079,0.6206,0.8071,0.7106,0.3305
UC_feces_to_biopsy,PRJNA398089,0.3157894736842105,0.6197089947089948,"[[ 0 42]
 [ 0 36]]",0.6227,0.6128,0.4062,0.6092,0.5,0.1373
UC_feces_to_biopsy,PRJNA232056,0.2619047619047619,0.8136363636363636,"[[ 0 20]
 [ 0 11]]",0.5614,0.4152,0.5479,0.3712,0.5484,0.1741
UC_feces_to_biopsy,RISK_PRISM_b,0.2338314551690347,0.6011548711874445,"[[  7 300]
 [  0 110]]",0.6031,0.3456,0.4985,0.3396,0.506,0.1394
IBD_feces_to_biopsy,PRJNA398089,0.5084441250449155,0.7009803921568628,"[[  4  38]
 [  0 102]]",0.6293,0.8036,0.5042,0.8027,0.7292,0.2121
IBD_feces_to_biopsy,PRJNA317429,0.2991452991452991,0.7537993920972644,"[[ 0 47]
 [ 0 35]]",0.6064,0.4907,0.503,0.4761,0.5244,0.1598
