mip,mro,co_occur,cosine
3.0,0.7843137254901961,0.0,-0.0006093253922535053
2.0,0.7017543859649122,0.3431962273289173,-0.0002413089570829547
2.0,0.6938775510204082,0.0,-0.0007305270743665837
8.0,0.5106382978723404,0.0,-0.0003913358458755584
2.0,0.7017543859649122,0.0,0.0003383831433372826
3.0,0.7450980392156863,0.0,0.0002655168442842564
2.0,0.7407407407407407,0.0,-0.000703593494198894
3.0,0.6976744186046512,0.0,9.580897237128814e-05
2.0,0.6530612244897959,0.0282718869966629,-0.0008634080879684647
6.0,0.6956521739130435,0.7755515915987417,-0.0009361235972856197
2.0,0.6792452830188679,0.0,0.00011165052639856023
6.0,0.6046511627906976,0.0,-0.00034538692512734186
3.0,0.6037735849056604,0.0,0.0007046061218770716
2.0,0.76,0.0,0.0005149061051839234
1.0,0.72,0.0,-0.0009787290133015311
2.0,0.7555555555555555,0.0475631075424871,0.0008101641524315055
3.0,0.72,6.606630673311884,0.00029399861830638164
0.0,0.8,6.620130184528534,0.0004334475262362959
1.0,0.875,1.8805852550940472,-0.000774534586653583
1.0,0.6956521739130435,8.112542769391439,0.0002410688276823492
1.0,0.6779661016949152,0.0,0.0004770382202841166
2.0,0.7636363636363637,0.1470588289071202,0.000519374544569216
5.0,0.7241379310344828,0.0,0.00013758275498528222
2.0,0.6808510638297872,0.0,0.0008156176677232622
3.0,0.8333333333333334,0.0,-0.0001525720132985831
4.0,0.6222222222222222,0.0,-0.00044518752066018705
3.0,0.7619047619047619,0.0,0.00032085519511062334
4.0,0.7037037037037037,0.0,0.00093041409771776
1.0,0.8301886792452831,0.5930793573688788,0.00015382676967113255
3.0,0.7391304347826086,0.0,-0.0008534791489833923
1.0,0.7058823529411765,0.0,0.0004975302418306908
2.0,0.5853658536585366,0.0521170117393694,-0.0004915007899293099
1.0,0.7916666666666666,0.0,0.0005832993230110956
3.0,0.6896551724137931,0.0,-0.0007175186496253543
2.0,0.625,0.0,-0.000149884075778527
