disease,study,f1,auc,cms
CAD,PRJDB6472,0.3333333333333333,0.6845238095238095,"[[26  2]
 [24  0]]"
CAD,PRJDB7456,0.3225806451612903,0.8505050505050505,"[[30  0]
 [33  0]]"
OB,PRJEB11419,0.40941505303207426,0.6781540428461375,"[[358   3]
 [315  23]]"
OB,PRJEB28687,0.3589717835398832,0.6768761601697163,"[[ 99 320]
 [  6  84]]"
IBS,PRJNA268708,0.2299465240641711,0.6271586460971679,"[[ 86   0]
 [202   0]]"
IBS,PRJEB11419,0.35400541514703754,0.5419150720868307,"[[ 19 440]
 [  7 380]]"
SZ,PRJNA896324,0.3146032726150046,0.7691387559808612,"[[21  1]
 [36  2]]"
SZ,PRJNA807473,0.30603448275862066,0.8655712050078247,"[[71  0]
 [90  0]]"
SZ,PRJCA000673,0.6903798256537983,0.7712264150943396,"[[27 26]
 [ 8 56]]"
SZ,PRJNA880407,0.6281780725555222,0.692,"[[28 22]
 [15 35]]"
BD,PRJNA1068750,0.34328358208955223,0.717391304347826,"[[46  0]
 [42  0]]"
BD,PRJEB11419,0.3333333333333333,0.7422222222222222,"[[15  0]
 [15  0]]"
BD,PRJEB23500,0.28313253012048195,0.7047872340425532,"[[47  0]
 [72  0]]"
IBD,qiita_2538,0.3367633302151543,0.7326329194524037,"[[360   0]
 [349   0]]"
IBD,PRJEB13679,0.39509300533244457,0.6669575989639056,"[[285  10]
 [508  94]]"
IBD,PRJNA317429,0.6110056925996206,0.7471124620060791,"[[36 11]
 [19 16]]"
IBD,qiita_1629,0.17133956386292834,0.9298578199052132,"[[ 55   0]
 [211   0]]"
IBD,PRJNA422193,0.49041710829852236,0.5094619666048237,"[[ 38 116]
 [ 23 117]]"
IBD,PRJNA431126,0.6763077814809448,0.8456279809220985,"[[ 26   8]
 [ 43 142]]"
AS,PRJCA007396,0.4485981308411215,0.7007575757575758,"[[ 0 11]
 [ 0 48]]"
AS,SRP332779,0.41666666666666663,0.8298611111111112,"[[ 0 24]
 [ 0 60]]"
PD,PRJNA510730,0.36990595611285265,0.6636716356953237,"[[  0  83]
 [  0 118]]"
PD,PRJEB14674,0.5892007145738489,0.735650136665365,"[[ 38  92]
 [ 17 180]]"
