disease,dataset,datasize,test_study,auc,f1,mcc,acc,confusion_matrix
CRC,1,8w,PRJNA318004,0.7860282574568288,0.6577894088669951,0.3492320379664276,0.6578947368421053,[[73 57] [21 77]]
CRC,1,8w,PRJDB11845,0.7246153846153847,0.4569444444444445,0.2131182639647571,0.5490196078431373,[[49  1] [45  7]]
CRC,1,8w,PRJNA290926,0.7476307692307692,0.6029411764705882,0.3691887949279695,0.6470588235294118,[[125   5] [ 85  40]]
CRC,1,8w,PRJNA824020,0.7552447552447553,0.6118421052631579,0.31481898828944727,0.6610169491525424,[[30  3] [17  9]]
CRC,1,8w,PRJEB6070,0.8175609756097562,0.6756789971734054,0.429716643013171,0.6813186813186813,[[25 25] [ 4 37]]
CRC,1,8w,PRJNA430990,0.7749766573295985,0.742385884158036,0.4849329617193936,0.8424657534246576,[[107  12] [ 11  16]]
CRC,1,8w,PRJEB36789,0.8796616685890042,0.7273675518275458,0.5189636370814894,0.7320261437908496,[[66 36] [ 5 46]]
CRC,1,16w,PRJNA318004,0.7729199372056513,0.6817617866004962,0.36735658463914433,0.6842105263157895,[[88 42] [30 68]]
CRC,1,16w,PRJDB11845,0.8361538461538462,0.5571322672879381,0.267668192279158,0.5980392156862745,[[46  4] [37 15]]
CRC,1,16w,PRJNA290926,0.7489230769230768,0.6037953248022904,0.38939867285348934,0.6509803921568628,[[127   3] [ 86  39]]
CRC,1,16w,PRJNA824020,0.7657342657342657,0.6361570918532944,0.3518084811104581,0.6779661016949152,[[30  3] [16 10]]
CRC,1,16w,PRJEB6070,0.8360975609756097,0.7009857612267251,0.4533445920743236,0.7032967032967034,[[28 22] [ 5 36]]
CRC,1,16w,PRJNA430990,0.813881107998755,0.6750397456279809,0.4295873850528347,0.8561643835616438,[[117   2] [ 19   8]]
CRC,1,16w,PRJEB36789,0.9011918492887351,0.7630530973451327,0.5777916225298083,0.8169934640522876,[[99  3] [25 26]]
CRC,1,4w,PRJNA318004,0.7686813186813187,0.6682381700715907,0.33963488191083413,0.6710526315789473,[[87 43] [32 66]]
CRC,1,4w,PRJDB11845,0.7649999999999999,0.6541702993315897,0.3239190779097843,0.6568627450980392,[[38 12] [23 29]]
CRC,1,4w,PRJNA290926,0.7024615384615385,0.4844591402928673,0.2683287672469022,0.5803921568627451,[[129   1] [106  19]]
CRC,1,4w,PRJNA824020,0.7377622377622377,0.6547332185886403,0.4779765040894149,0.711864406779661,[[33  0] [17  9]]
CRC,1,4w,PRJEB6070,0.8317073170731708,0.5589285714285713,0.2672660160314397,0.5824175824175825,[[16 34] [ 4 37]]
CRC,1,4w,PRJNA430990,0.8020541549953314,0.766025641025641,0.5327844981851296,0.863013698630137,[[110   9] [ 11  16]]
CRC,1,4w,PRJEB36789,0.881199538638985,0.7546226415094341,0.5104656101507404,0.7777777777777778,[[83 19] [15 36]]
CRC,1,2k,PRJNA318004,0.6423076923076924,0.6173273657289002,0.2382707288411118,0.631578947368421,[[94 36] [48 50]]
CRC,1,2k,PRJDB11845,0.7873076923076923,0.6964285714285714,0.4298926520745525,0.7058823529411765,[[27 23] [ 7 45]]
CRC,1,2k,PRJNA290926,0.6390769230769231,0.3825420768497936,0.06752110364284797,0.5215686274509804,[[127   3] [119   6]]
CRC,1,2k,PRJNA824020,0.6491841491841491,0.618235294117647,0.23794034255587387,0.6271186440677966,[[23 10] [12 14]]
CRC,1,2k,PRJEB6070,0.7229268292682927,0.3546099290780142,0.0,0.5494505494505495,[[50  0] [41  0]]
CRC,1,2k,PRJNA430990,0.7127295362589481,0.6256410256410256,0.25179761052096733,0.7808219178082192,[[104  15] [ 17  10]]
CRC,1,2k,PRJEB36789,0.746635909265667,0.5995531439514841,0.3526438100006257,0.7320261437908496,[[100   2] [ 39  12]]
