disease,dataset,datasize,test_study,auc,f1,mcc,acc,confusion_matrix
IBD,1,8w,qiita_2538,0.6374641833810888,0.4782169927727833,0.08806951780369442,0.5289139633286318,[[ 77 283] [ 51 298]]
IBD,1,8w,PRJEB13679,0.6647615293653921,0.5915072662707768,0.20707254502414643,0.6086956521739131,[[181 114] [237 365]]
IBD,1,8w,PRJNA317429,0.7659574468085106,0.595784463708992,0.25715446613443743,0.6463414634146342,[[41  6] [23 12]]
IBD,1,8w,qiita_1629,0.9354588539422662,0.19719878105954056,0.07066508173089855,0.22556390977443608,[[ 55   0] [206   5]]
IBD,1,8w,PRJNA422193,0.4977736549165121,0.5027484143763215,0.01124748030178738,0.5102040816326531,[[93 61] [83 57]]
IBD,1,8w,PRJNA431126,0.7912559618441972,0.6482541899441341,0.30515841620364137,0.7899543378995434,[[ 17  17] [ 29 156]]
IBD,1,16w,qiita_2538,0.7675819802610633,0.3298676748582231,0.0,0.4922425952045134,[[  0 360] [  0 349]]
IBD,1,16w,PRJEB13679,0.6784616250915029,0.6136403788620997,0.2301919299456419,0.6711259754738016,[[128 167] [128 474]]
IBD,1,16w,PRJNA317429,0.7501519756838906,0.7220338983050847,0.47448433128813483,0.7439024390243902,[[42  5] [16 19]]
IBD,1,16w,qiita_1629,0.9468332615252046,0.17133956386292834,0.0,0.20676691729323307,[[ 55   0] [211   0]]
IBD,1,16w,PRJNA422193,0.5066326530612245,0.5220178372352285,0.05660541384270611,0.5238095238095238,[[68 86] [54 86]]
IBD,1,16w,PRJNA431126,0.8321144674085851,0.6097484276729559,0.3265723415943137,0.6894977168949772,[[ 26   8] [ 60 125]]
IBD,1,4w,qiita_2538,0.6677332059853549,0.49561083991155447,0.0820380626885472,0.5303244005641748,[[ 95 265] [ 68 281]]
IBD,1,4w,PRJEB13679,0.6719240948251591,0.6312799144095951,0.26255982881919027,0.6744704570791528,[[149 146] [146 456]]
IBD,1,4w,PRJNA317429,0.7683890577507598,0.6339285714285714,0.3493468381957336,0.6829268292682927,[[43  4] [22 13]]
IBD,1,4w,qiita_1629,0.9488151658767773,0.17133956386292834,0.0,0.20676691729323307,[[ 55   0] [211   0]]
IBD,1,4w,PRJNA422193,0.48947124304267164,0.4688879967884384,0.061936584353491635,0.5102040816326531,[[ 34 120] [ 24 116]]
