AAAA02020714.1.1202 229
AAFJ01000001.39328.40836 111
AAQK01001555.694.2198 181
AAQK01003909.1492.2988 519
AATC01000018.2.1513 136
AATF01002564.10.1217 312
AAXA02000007.1.1294 2062
AB002518.1.1416 139
AB006120.1.1355 204
AB006125.1.1294 186
AB006127.1.1290 110
AB006769.1.1456 140
AB008514.1.1214 255
AB008531.1.1246 614
AB009222.1.1414 237
AB011816.1.1463 160
AB012207.1.1299 134
AB012589.1.1484 180
AB022925.1.1450 892
AB023972.1.1377 842
AB023973.1.1445 155
AB027362.1.1386 277
AB030220.1.1486 839
AB034121.1.1264 139
AB036759.1.1480 754
AB062283.1.1345 188
AB064919.1.1492 819
AB071950.1.1341 426
AB071953.1.1312 197
AB074617.1.1332 200
AB088984.1.1396 140
AB108825.1.1490 128
AB128872.1.1589 7
AB174795.1.1258 254
AB176365.1.1240 156
AB182483.1.1494 188
AB185742.1.1529 341
AB185776.1.1501 86
AB185810.1.1527 150
AB192177.1.1438 169
AB200414.1.1491 181
AB214328.1.1484 122
AB218288.1.1449 353
AB218300.1.1457 112
AB218322.1.1456 906
AB218324.1.1551 85
AB218325.1.1438 2771
AB218332.1.1445 358
AB218334.1.1446 701
AB218338.1.1457 1241
AB220083.1.1360 90
AB221358.1.1238 169
AB222699.1.1485 151
AB231038.1.1365 121
AB233029.1.1493 133
AB234418.1.1355 130
AB234447.1.1351 162
AB234451.1.1349 115
AB234463.1.1349 155
AB234520.1.1316 280
AB234524.1.1350 127
AB234525.1.1348 413
AB237713.1.1455 100
AB238924.1.1486 1480
AB238927.1.1486 663
AB238928.1.1492 98
AB241130.1.1446 139
AB243992.1.1538 109
AB255081.1.1485 119
AB259061.1.1545 93
AB261128.1.1492 2495
AB264066.1.1465 519
AB264069.1.1447 1087
AB264073.1.1456 1908
AB264082.1.1445 5943
AB264126.1.1422 109
AB266102.1.1428 3189
AB267809.1.1461 135
AB270083.1.1322 195
AB272322.1.1204 121
AB272335.1.1200 8653
AB272364.1.1268 144
AB272373.1.1283 111
AB286023.1.1473 182
AB288920.1.1350 129
AB294138.1.1215 124
AB300988.1.1342 20399
AB300989.1.1489 1037
AB331897.1.1481 3448
AB365975.1.1498 133
AB370249.1.1521 195
AB374136.1.1447 171
AB425276.1.1515 147
AB425929.1.1502 108
AB438958.1.1532 179
AB443948.1.1484 905
AB443949.1.1486 6091
AB444081.1.1207 618
AB470329.1.1491 394
AB470343.1.1485 108
AB480534.1.1481 148
AB487517.1.1356 206
AB487690.1.1322 185
AB490801.1.1479 14757
AB490804.1.1482 126
AB490806.1.1463 190
AB490809.1.1497 4146
AB490810.1.1469 776
AB490811.1.1610 1793
AB491209.1.1485 142
AB491210.1.1485 4179
AB491723.1.1422 219
AB494814.1.1500 966
AB505075.1.1496 166
AB506139.1.1558 143
AB506166.1.1495 517
AB506172.1.1523 152
AB506185.1.1506 477
AB506188.1.1515 107
AB506192.1.1523 255
AB506199.1.1508 388
AB506227.1.1518 4698
AB506232.1.1522 145
AB506250.1.1525 887
AB506253.1.1527 795
AB506266.1.1511 246
AB506279.1.1563 1883
AB506315.1.1513 218
AB506348.1.1522 219
AB506360.1.1531 139
AB506361.1.1516 1363
AB506369.1.1506 154
AB506371.1.1509 232
AB506372.1.1510 395
AB506381.1.1523 384
AB506382.1.1509 685
AB506388.1.1517 1547
AB506413.1.1616 130
AB506424.1.1522 1035
AB506558.1.1496 414
AB506573.1.1493 297
AB506579.1.1499 98
AB506623.1.1506 459
AB507168.1.1517 208
AB507643.1.1557 104
AB507661.1.1539 130
AB509211.1.1451 954
AB510707.1.1473 1110
AB510708.1.1476 203
AB512047.1.1509 467
