Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds	CheckM completeness	CheckM contamination
GCA_003475485.1	ASM347548v1	Dielma fastidiosa		AF31-27BH					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRQL01	22	99.16	
GCF_003475485.1	ASM347548v1	Dielma fastidiosa		AF31-27BH					GCF_003475485.1-RS_2024_03_28	Scaffold	2018-09-06	QRQL01	22	99.16	
GCA_003464225.1	ASM346422v1	Holdemanella biformis		AF15-5					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QRYH01	69	96.94	0.71
GCF_003464225.1	ASM346422v1	Holdemanella biformis		AF15-5					GCF_003464225.1-RS_2024_04_27	Scaffold	2018-09-06	QRYH01	69	96.94	0.71
GCA_003475105.1	ASM347510v1	Eubacterium ventriosum		AF37-4					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QROT01	22	99.36	0.64
GCF_003475105.1	ASM347510v1	Eubacterium ventriosum		AF37-4					GCF_003475105.1-RS_2024_04_14	Scaffold	2018-09-06	QROT01	22	99.36	0.64
GCA_003459085.1	ASM345908v1	Holdemania filiformis		AF24-29					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-05	QRUP01	48	100	
GCF_003459085.1	ASM345908v1	Holdemania filiformis		AF24-29					GCF_003459085.1-RS_2024_03_28	Scaffold	2018-09-05	QRUP01	48	100	
GCA_003435485.1	ASM343548v1	Eisenbergiella massiliensis		TF05-5AC					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-08-31	QVLV01	58	98.75	0.73
GCF_003435485.1	ASM343548v1	Eisenbergiella massiliensis		TF05-5AC					GCF_003435485.1-RS_2024_12_13	Scaffold	2018-08-31	QVLV01	58	98.75	0.73
GCA_003481325.1	ASM348132v1	Butyribacter intestini		TF01-11					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-09-06	QUKT01	12	96.79	1.34
