,mip,mro,community,genome_list,co_occur,cosine
11,3.0,0.7843137254901961,community_2,['AB012207.1.1299' 'AB243992.1.1538'],0.0,-0.0006093253922535053
45,2.0,0.7017543859649122,community_2,['AB237713.1.1455' 'AB506388.1.1517'],0.3431962273289173,-0.0002413089570829547
50,2.0,0.6938775510204082,community_2,['AB365975.1.1498' 'AB506573.1.1493'],0.0,-0.0007305270743665837
95,8.0,0.5106382978723404,community_2,['AB234451.1.1349' 'AB612796.1.1482'],0.0,-0.0003913358458755584
99,2.0,0.7017543859649122,community_2,['AB506192.1.1523' 'AB616299.1.1516'],0.0,0.0003383831433372826
120,3.0,0.7450980392156863,community_2,['AB506139.1.1558' 'AB681574.1.1283'],0.0,0.0002655168442842564
121,2.0,0.7407407407407407,community_2,['AB506372.1.1510' 'AB681574.1.1283'],0.0,-0.000703593494198894
127,3.0,0.6976744186046512,community_2,['AB547672.1.1495' 'AB697157.1.1394'],0.0,9.580897237128814e-05
158,2.0,0.6530612244897959,community_2,['AB547672.1.1495' 'AB741663.1.1324'],0.0282718869966629,-0.0008634080879684647
246,6.0,0.6956521739130435,community_2,['AB547672.1.1495' 'AB969320.1.1524'],0.7755515915987417,-0.0009361235972856197
247,2.0,0.6792452830188679,community_2,['AB920828.1.1412' 'AB969320.1.1524'],0.0,0.00011165052639856023
257,6.0,0.6046511627906976,community_2,['AB702766.1.1491' 'AB969596.1.1523'],0.0,-0.00034538692512734186
265,3.0,0.6037735849056604,community_2,['AB702766.1.1491' 'ABEZ02000012.1768.3258'],0.0,0.0007046061218770716
277,2.0,0.76,community_2,['AB554233.1.1486' 'ABWK02000005.70.1618'],0.0,0.0005149061051839234
290,1.0,0.72,community_2,['AB547648.1.1487' 'ACBZ01000217.267.1788'],0.0,-0.0009787290133015311
355,2.0,0.7555555555555555,community_2,['AB681369.1.1472' 'AF129444.1.1436'],0.0475631075424871,0.0008101641524315055
364,3.0,0.72,community_2,['AB741661.1.1324' 'AF132270.1.1279'],6.606630673311884,0.00029399861830638164
365,0.0,0.8,community_2,['AB934705.1.1348' 'AF132270.1.1279'],6.620130184528534,0.0004334475262362959
379,1.0,0.875,community_2,['AB506623.1.1506' 'AF153858.1.1349'],1.8805852550940472,-0.000774534586653583
380,1.0,0.6956521739130435,community_2,['AE000513.2467934.2469435' 'AF153858.1.1349'],8.112542769391439,0.0002410688276823492
407,1.0,0.6779661016949152,community_2,['AB702916.1.1364' 'AF287769.1.1493'],0.0,0.0004770382202841166
411,2.0,0.7636363636363637,community_2,['AB969320.1.1524' 'AF287772.1.1541'],0.1470588289071202,0.000519374544569216
412,5.0,0.7241379310344828,community_2,['ABWK02000005.70.1618' 'AF287772.1.1541'],0.0,0.00013758275498528222
424,2.0,0.6808510638297872,community_2,['AB506573.1.1493' 'AF349933.1.1228'],0.0,0.0008156176677232622
451,3.0,0.8333333333333334,community_2,['AB969601.1.1522' 'AF371648.1.1457'],0.0,-0.0001525720132985831
491,4.0,0.6222222222222222,community_2,['AB234525.1.1348' 'AF371754.1.1432'],0.0,-0.00044518752066018705
510,3.0,0.7619047619047619,community_2,['AB012589.1.1484' 'AF371802.1.1417'],0.0,0.00032085519511062334
511,4.0,0.7037037037037037,community_2,['AB071953.1.1312' 'AF371802.1.1417'],0.0,0.00093041409771776
522,1.0,0.8301886792452831,community_2,['AB506424.1.1522' 'AF371806.1.1454'],0.5930793573688788,0.00015382676967113255
525,3.0,0.7391304347826086,community_2,['AB678451.1.1353' 'AF371811.1.1357'],0.0,-0.0008534791489833923
535,1.0,0.7058823529411765,community_2,['AB494814.1.1500' 'AF371823.1.1425'],0.0,0.0004975302418306908
583,2.0,0.5853658536585366,community_2,['AB934822.1.1349' 'AF385510.1.1522'],0.0521170117393694,-0.0004915007899293099
602,1.0,0.7916666666666666,community_2,['AB506558.1.1496' 'AF432141.1.1499'],0.0,0.0005832993230110956
658,3.0,0.6896551724137931,community_2,['ABWK02000005.70.1618' 'AF550652.1.1555'],0.0,-0.0007175186496253543
668,2.0,0.625,community_2,['AB678451.1.1353' 'AGCI01000028.1.1356'],0.0,-0.000149884075778527
719,0.0,0.6545454545454545,community_2,['AF233876.1.1443' 'AJ233437.1.1480'],0.0,-0.0007765593157494197
753,6.0,0.5714285714285714,community_2,['AB023973.1.1445' 'AJ247194.1.1416'],0.0,-3.174555010283003e-05
754,2.0,0.6086956521739131,community_2,['AB506623.1.1506' 'AJ247194.1.1416'],0.0,-0.0002267550572562725
755,5.0,0.5714285714285714,community_2,['AJ233437.1.1480' 'AJ247194.1.1416'],0.0,0.00016902790957235508
770,2.0,0.7307692307692307,community_2,['AB234525.1.1348' 'AJ270486.1.1241'],0.0,0.00032031366904483697
771,2.0,0.5098039215686274,community_2,['AB547703.1.1492' 'AJ270486.1.1241'],0.0,-9.49166136376647e-05
772,1.0,0.7391304347826086,community_2,['AB681369.1.1472' 'AJ270486.1.1241'],0.0,-0.0007550419730790085
773,2.0,0.6808510638297872,community_2,['AB741665.1.1324' 'AJ270486.1.1241'],0.6505933537919191,-0.0009736878544093788
776,1.0,0.8979591836734694,community_2,['AB221358.1.1238' 'AJ271894.1.1448'],0.7523316067881751,-9.66759843618272e-05
778,5.0,0.6530612244897959,community_2,['AF207074.1.1392' 'AJ271894.1.1448'],0.4668760589011071,0.0005714727529222106
800,2.0,0.6382978723404256,community_2,['AF371817.1.1388' 'AJ290758.1.1466'],0.0,-0.0008945692771041082
806,9.0,0.5882352941176471,community_2,['AB700379.1.1452' 'AJ295350.1.1354'],0.0,0.0003487413485103248
810,7.0,0.5925925925925926,community_2,['AJ233437.1.1480' 'AJ305238.1.1505'],0.0,0.0008306505578310384
839,1.0,0.6666666666666666,community_2,['AB571656.1.1493' 'AJ441057.1.1482'],0.0,0.00016880633371078844
861,3.0,0.7272727272727273,community_2,['ABWK02000005.70.1618' 'AJ540309.1.1413'],0.5556000791011684,0.00010426920314020354
872,1.0,0.7857142857142857,community_2,['AB218325.1.1438' 'AJ576350.1.1454'],0.2475877793540348,0.0003490517502732562
879,5.0,0.7368421052631579,community_2,['AB030220.1.1486' 'AJ586357.1.1440'],0.0,1.6943044140778903e-05
881,3.0,0.7307692307692307,community_2,['AB616299.1.1516' 'AJ586357.1.1440'],0.0,-0.0005091481458871891
882,2.0,0.7547169811320755,community_2,['ABWK02000005.70.1618' 'AJ586357.1.1440'],0.0,-0.00043636282787985634
883,3.0,0.7391304347826086,community_2,['AF371811.1.1357' 'AJ586357.1.1440'],0.0,0.0007469566019787877
903,4.0,0.8085106382978723,community_2,['AB969320.1.1524' 'AJ786792.1.1293'],0.0624073160420266,0.0004628916825765751
946,4.0,0.8333333333333334,community_2,['AB036759.1.1480' 'AKCT01000562.18830.20227'],0.0608465592674747,0.0005863059379730477
947,4.0,0.7777777777777778,community_2,['AB365975.1.1498' 'AKCT01000562.18830.20227'],0.0,0.0007497176219292115
1022,2.0,0.8085106382978723,community_2,['AB218300.1.1457' 'AM276744.1.1449'],0.0,-0.0001586773880874593
1030,3.0,0.76,community_2,['AF207074.1.1392' 'AM276744.1.1449'],0.0,0.0005365851220433898
1033,2.0,0.723404255319149,community_2,['AJ290758.1.1466' 'AM276744.1.1449'],0.0,8.65583507145588e-05
1036,2.0,0.7058823529411765,community_2,['AB969601.1.1522' 'AM277340.1.1500'],0.0929236455914406,6.974914781205715e-05
1048,3.0,0.7058823529411765,community_2,['AF371817.1.1388' 'AM277375.1.1485'],0.0,-0.0002350533203815694
1078,2.0,0.56,community_2,['ACKS01000100.344.1864' 'AM277966.1.1487'],0.0,0.0002264488613366513
1080,0.0,0.8076923076923077,community_2,['AF371817.1.1388' 'AM277966.1.1487'],0.0025251273815385,0.0002867677530301936
1093,1.0,0.75,community_2,['AB547648.1.1487' 'AM277985.1.1475'],0.0,0.00019663711911512786
1094,3.0,0.723404255319149,community_2,['AATC01000018.2.1513' 'AM277988.1.1480'],0.0,-0.00011541762105372685
1095,0.0,0.5769230769230769,community_2,['AB062283.1.1345' 'AM277988.1.1480'],0.0,0.0009851190268532202
1101,1.0,0.76,community_2,['ACIP02000003.114175.115697' 'AM278259.1.1472'],0.0182390972308894,-0.0004168671377699141
1129,4.0,0.6956521739130435,community_2,['AF371811.1.1357' 'AM398646.1.1476'],0.0,-0.0009254506669697362
1157,7.0,0.7719298245614035,community_2,['AB294138.1.1215' 'AM405132.1.1429'],0.0,-0.0008314191640073492
1159,1.0,0.7647058823529411,community_2,['AF371628.1.1465' 'AM405132.1.1429'],0.0,0.00099709216732812
1160,3.0,0.7761194029850746,community_2,['AF371802.1.1417' 'AM405132.1.1429'],0.3025066493391932,0.0005486536654164493
1172,1.0,0.7346938775510204,community_2,['AB218334.1.1446' 'AM405425.1.1456'],0.7678725550458694,0.000861995435125463
1192,2.0,0.5531914893617021,community_2,['AB614872.1.1469' 'AM406090.1.1432'],0.0652225208775689,-5.1040669312916464e-05
1235,5.0,0.6909090909090909,community_2,['AF371644.1.1419' 'AM420142.1.1474'],0.1939034599636215,-0.00011736090838015858
1237,5.0,0.6956521739130435,community_2,['AB506360.1.1531' 'AM420144.1.1397'],0.0,9.840760922058261e-05
1271,2.0,0.8846153846153846,community_2,['AB506623.1.1506' 'AM500804.1.1519'],0.1008161380059391,-0.00044470734424179113
1272,3.0,0.723404255319149,community_2,['AB571656.1.1493' 'AM500804.1.1519'],0.0,-0.0006710431195593358
1279,7.0,0.5652173913043478,community_2,['AM420142.1.1474' 'AM500804.1.1519'],0.0,0.0003279835270528744
1286,2.0,0.8461538461538461,community_2,['AB822953.1.1572' 'AM694064.1.1445'],1.9358869303541724,0.0008568723086298679
1289,2.0,0.6792452830188679,community_2,['AM277985.1.1475' 'AM694064.1.1445'],1.6265626877066095,-0.0008050069883426387
1294,3.0,0.8076923076923077,community_2,['AM694064.1.1445' 'AM696758.1.1492'],1.3522372521565558,0.00024036291608143154
1362,1.0,0.875,community_2,['AM278590.1.1485' 'AM932612.1.1312'],0.0,0.00012685938403527212
1376,8.0,0.6666666666666666,community_2,['AJ811975.1.1356' 'AM935607.1.1321'],0.0227881390292452,0.0003592041413356322
1377,1.0,0.7659574468085106,community_2,['AB233029.1.1493' 'AM936376.1.1338'],0.0,0.0007276647932339603
1378,3.0,0.64,community_2,['AB490811.1.1610' 'AM936752.1.1343'],0.0,-0.0005179519448451637
1379,4.0,0.6,community_2,['AB700379.1.1452' 'AM936752.1.1343'],0.0,0.0001953255217911357
1411,3.0,0.84,community_2,['AB930590.1.1483' 'AM945677.1.1338'],0.0,0.0008630301307544943
1417,0.0,0.72,community_2,['AM277966.1.1487' 'ANBF01000256.1.1317'],0.0,-0.00012347002408132177
1419,7.0,0.5777777777777777,community_2,['AB547677.1.1479' 'AOQH01000134.9789.11348'],0.0,-2.797527506329292e-05
1421,2.0,0.6428571428571429,community_2,['AB969619.1.1529' 'AOQH01000134.9789.11348'],0.0,-0.0005080236312305639
1423,3.0,0.6923076923076923,community_2,['AM277985.1.1475' 'AOQH01000134.9789.11348'],0.0,0.0005888608565953746
1437,2.0,0.7555555555555555,community_2,['AJ270486.1.1241' 'AP007209.295387.296837'],0.0,-0.00021937297740191107
1438,0.0,0.782608695652174,community_2,['AM696758.1.1492' 'AP007209.295387.296837'],0.0,-0.0002907174371730963
1450,3.0,0.7547169811320755,community_2,['AM405112.1.1489' 'AP011541.2938766.2940303'],0.0,5.842724163368754e-05
1516,4.0,0.6190476190476191,community_2,['AF371754.1.1432' 'AP018533.3254502.3256012'],0.0,-0.00048049551119442745
1519,4.0,0.8076923076923077,community_2,['AM932612.1.1312' 'AP018533.3254502.3256012'],0.0,-0.0007871875215322363
1525,4.0,0.76,community_2,['AB616299.1.1516' 'AP018536.2960241.2961739'],0.0,0.0004600538623398865
1526,6.0,0.68,community_2,['AB741663.1.1324' 'AP018536.2960241.2961739'],0.0763609039200901,-6.908445377281918e-06
1527,3.0,0.6666666666666666,community_2,['AB920828.1.1412' 'AP018536.2960241.2961739'],0.0,-0.0009827886470006849
1529,8.0,0.5833333333333334,community_2,['ABCA03000037.60092.61588' 'AP018536.2960241.2961739'],0.2820000053247895,7.588707770193804e-05
1531,9.0,0.7083333333333334,community_2,['AGCI01000028.1.1356' 'AP018536.2960241.2961739'],0.141708213918946,-0.0009511788745214218
1559,2.0,0.6206896551724138,community_2,['AJ811975.1.1356' 'APQG01000021.1.1300'],0.0,0.0008815483061768421
1592,4.0,0.7346938775510204,community_2,['AB506139.1.1558' 'ASVV01000008.1.1273'],0.0,2.464799125650356e-05
1593,3.0,0.75,community_2,['AB614872.1.1469' 'ASVV01000008.1.1273'],0.0,0.0006945263917028805
1600,5.0,0.8260869565217391,community_2,['AB218325.1.1438' 'ASWF01000003.997800.999346'],0.0,0.0004689281231869566
