query_id,refer_id,identity,alignment_length,mismatches,gap_openings,q.start,q.end,s.start,s.end,e-value,bit_score,length,coverage,refer,genome_id
AJ305238.1.1505,16S_rRNA::DS480346.1:176999-178547(+),99.9,1505,2,0,1,1505,1,1548,-1,0,1505,1.0,DS480346.1,GCA_000154345.1_genomic
ABQR01000074.101.1610,16S_rRNA::DS990270.1:96-1623(+),100.0,1510,0,0,1,1510,1,1527,-1,0,1510,1.0,DS990270.1,GCA_000155435.1_genomic
Y18181.1.1435,16S_rRNA::EQ973341.1:3511-5036(-),99.9,1437,0,2,1,1435,1,1525,-1,0,1435,1.0013937282229965,EQ973341.1,GCA_000158655.1_genomic
ACON01000003.712136.713636,16S_rRNA::GG688422.1:1081954-1083464(+),100.0,1501,0,0,1,1501,1,1510,-1,0,1501,1.0,GG688422.1,GCA_000161975.1_genomic
AJ239289.1.1355,16S_rRNA::ADBE01000137.1:300-1836(+),100.0,1355,0,0,1,1355,1,1536,-1,0,1355,1.0,ADBE01000137.1,GCA_000176735.1_genomic
CP007065.253054.254560,16S_rRNA::AABF01000026.1:18737-20251(+),99.7,1507,4,0,1,1507,1,1514,-1,0,1507,1.0,AABF01000026.1,GCA_000182945.1_genomic
JX424767.1.1450,16S_rRNA::CAPI01000044.1:3321-4819(-),99.9,1450,1,0,1,1450,1,1498,-1,0,1450,1.0,CAPI01000044.1,GCA_000333815.1_genomic
ATWA01000156.1.1244,16S_rRNA::ATWA01000156.1:0-1245(-),100.0,1244,0,0,1,1244,1,1245,-1,0,1244,1.0,ATWA01000156.1,GCA_000421005.1_genomic
HE681338.1.1507,16S_rRNA::AZKM01000010.1:338-1852(+),99.5,1507,7,0,1,1507,1,1514,-1,0,1507,1.0,AZKM01000010.1,GCA_000510425.1_genomic
AY608697.1.1413,16S_rRNA::BAJA01000095.1:426-1944(+),99.0,1413,13,1,1,1413,1,1518,-1,0,1413,1.0,BAJA01000095.1,GCA_000613465.1_genomic
EU126661.1.1453,16S_rRNA::BAJX01000046.1:131-1658(-),99.9,1453,0,1,1,1453,1,1527,-1,0,1453,1.0,BAJX01000046.1,GCA_000613925.1_genomic
KF443808.1.1339,16S_rRNA::JMMB01000007.1:3197957-3199457(-),99.9,1339,1,0,1,1339,1,1500,-1,0,1339,1.0,JMMB01000007.1,GCA_000686145.1_genomic
HQ335006.1.1414,16S_rRNA::JRQN01000027.1:3526-5070(-),100.0,1414,0,0,1,1414,1,1544,-1,0,1414,1.0,JRQN01000027.1,GCA_000785785.1_genomic
FR749936.1.1524,16S_rRNA::LDAQ01000152.1:339-1869(-),100.0,1524,0,0,1,1524,1,1530,-1,0,1524,1.0,LDAQ01000152.1,GCA_001028025.1_genomic
HM249549.1.1366,16S_rRNA::CKQD01000014.1:44305-45848(+),99.1,1367,11,1,1,1366,1,1543,-1,0,1366,1.000732064421669,CKQD01000014.1,GCA_001171885.1_genomic
AJ006963.1.1453,16S_rRNA::CP012068.1:1576989-1578503(-),99.9,1453,2,0,1,1453,1,1514,-1,0,1453,1.0,CP012068.1,GCA_001189495.1_genomic
AYZT01025737.5596.7065,16S_rRNA::LGTG01000611.1:765-2252(-),99.0,1470,14,0,1,1470,1,1487,-1,0,1470,1.0,LGTG01000611.1,GCA_001190015.1_genomic
LGYU01000045.758.2266,16S_rRNA::LGYU01000045.1:753-2279(+),100.0,1509,0,0,1,1509,1,1526,-1,0,1509,1.0,LGYU01000045.1,GCA_001302245.1_genomic
BCAA01000057.220.1714,16S_rRNA::BCAA01000057.1:214-1727(+),100.0,1495,0,0,1,1495,1,1513,-1,0,1495,1.0,BCAA01000057.1,GCA_001305115.1_genomic
EU767694.1.1360,16S_rRNA::LLKB01000001.1:445405-446935(+),99.1,1360,8,3,1,1360,1,1530,-1,0,1360,1.0,LLKB01000001.1,GCA_001414325.1_genomic
LSCT01000005.26.1546,16S_rRNA::KQ959344.1:20-1550(-),100.0,1521,0,0,1,1521,1,1530,-1,0,1521,1.0,KQ959344.1,GCA_001552765.1_genomic
LSCS01000002.27.1548,16S_rRNA::KQ959247.1:22-1552(-),100.0,1522,0,0,1,1522,1,1530,-1,0,1522,1.0,KQ959247.1,GCA_001552775.1_genomic
LSCX01000005.274.1770,16S_rRNA::KQ959671.1:270-1775(+),100.0,1497,0,0,1,1497,1,1505,-1,0,1497,1.0,KQ959671.1,GCA_001552935.1_genomic
LSDR01000051.85.1641,16S_rRNA::KQ960846.1:79-1645(-),100.0,1557,0,0,1,1557,1,1566,-1,0,1557,1.0,KQ960846.1,GCA_001553355.1_genomic
LC428297.1.1229,16S_rRNA::CP026167.1:1180478-1182014(+),99.0,1229,12,0,1,1229,1,1536,-1,0,1229,1.0,CP026167.1,GCA_002902985.1_genomic
