0,t-SNE1,t-SNE2
AJ315979.1.1406,-54.23749,-11.603675
JF154739.1.1369,10.026544,2.5336468
HQ716630.1.1359,18.781553,51.741592
JF237744.1.1361,-21.14156,-5.306237
JF163633.1.1360,28.075161,-6.343528
JF172118.1.1354,25.229515,27.704477
JF227828.1.1308,39.473507,1.1533802
JF184055.1.1362,-56.750454,15.642764
JF146311.1.1361,36.202297,-10.490052
JF228043.1.1349,-24.721989,17.008163
JF029412.1.1373,25.509647,9.607014
HM274530.1.1342,61.153717,26.800514
HQ877677.1.1435,-12.934251,34.966873
JF044111.1.1379,25.511078,9.58803
JF176662.1.1382,30.224028,44.217667
JF146374.1.1356,-16.150135,-39.465984
HQ716576.1.1480,-9.8892765,-51.577877
JF229141.1.1340,20.339802,50.192253
JF203190.1.1346,-25.742285,15.308
JF217665.1.1354,-12.061812,35.687996
JF186313.1.1347,64.14223,21.9247
JF173953.1.1367,-47.179855,13.003597
JF188540.1.1365,10.283891,2.6101189
JF241759.1.1361,-19.696672,-6.221729
HM294795.1.1361,28.082907,-6.3345647
JF160112.1.1371,10.122553,9.248322
JF142362.1.1383,19.952604,15.8989
JF161086.1.1352,-51.343575,-13.618983
HQ716193.1.1362,13.682572,38.091526
AY571668.1.1382,44.249485,57.55808
JF120720.1.1366,11.138653,6.6595426
AF371757.1.1435,-28.891594,65.89042
JF096707.1.1375,19.44902,14.597276
JF172015.1.1361,-19.965178,-8.357157
AF371914.1.1431,-52.341816,16.681082
JF048255.1.1354,-24.771608,14.796198
U96297.1.1423,37.086086,10.847724
JF176996.1.1360,70.36065,-19.341211
JF198707.1.1359,28.080793,-6.326358
JF171722.1.1334,49.250645,38.437378
HQ716489.1.1446,9.639749,-35.001472
JF210939.1.1357,-47.214806,13.02231
AY721625.1.1490,82.715935,-6.0484095
JF241502.1.1380,67.579414,6.2178264
HM278809.1.1347,-25.008991,14.565539
HM333224.1.1347,-25.891666,16.062551
AF143835.1.1303,35.2785,1.3968985
AY676491.1.1479,63.63899,22.406786
HQ716617.1.1511,5.490286,-30.76224
HM310061.1.1351,-6.2952557,-33.1867
HQ716421.1.1366,13.68186,38.06198
JF064395.1.1378,11.168119,7.797851
JF110835.1.1384,44.158737,57.4499
JF220832.1.1358,70.68543,28.228535
HQ716109.1.1388,-43.136936,54.28621
JF198578.1.1357,84.01044,7.681715
JF045838.1.1372,25.540506,9.592684
EU008088.1.1549,34.534897,-10.930201
HM285653.1.1330,-65.356186,41.54147
JF231357.1.1355,52.933235,-0.8109925
HM313084.1.1306,39.46583,1.1537422
HM263244.1.1354,70.484634,28.041605
JF202999.1.1355,28.166906,-18.615105
AY644475.1.1526,0.32007638,-15.276513
AB185776.1.1501,21.369677,-31.566717
HQ716246.1.1462,56.459576,10.607277
AY663435.1.1430,32.240734,-13.371477
HM249549.1.1366,10.134256,2.3603318
JF176422.1.1365,10.144484,9.21922
HM319012.1.1341,20.294006,50.178585
JF218944.1.1353,-37.92603,21.63613
AY294218.1.1409,35.775726,16.181145
GU592681.1.1369,-19.248661,-6.1990056
JF090188.1.1364,70.257,27.83118
JF183959.1.1367,-47.197796,13.012825
AJ576350.1.1454,-9.386348,-8.126018
AF371675.1.1449,-56.734417,2.339302
HM325417.1.1361,-20.940777,-5.1793737
JF105630.1.1385,43.206448,56.41766
JF128502.1.1359,69.80961,27.387535
HM257477.1.1350,-24.843021,17.045677
JF163596.1.1351,1.8509442,69.917854
JF152180.1.1335,68.09227,-47.44647
JF189240.1.1303,34.32209,1.3244168
JF197159.1.1360,70.29924,-20.703484
AB185810.1.1527,25.363953,-42.735554
HM308990.1.1306,39.468277,1.1538956
AY538696.1.1466,-38.310783,39.007317
HQ716607.1.1533,14.018354,38.649155
HM308160.1.1357,-38.428864,38.572014
JF220976.1.1376,25.518833,9.583751
AY138237.1.1441,34.692574,1.3970468
JF239178.1.1371,19.466389,14.612388
HM283141.1.1350,-29.041739,-53.399017
JF240952.1.1351,1.3077092,69.659515
HM306299.1.1372,25.449478,9.611636
JF168303.1.1318,-24.833416,15.987016
JF151070.1.1361,28.07645,-6.321541
JF128995.1.1359,-50.13241,-61.92535
JF104196.1.1305,32.225765,1.3487942
JF168160.1.1356,52.901684,-0.8151312
JF082189.1.1377,10.14086,2.3642623
JF096771.1.1331,49.326305,38.449936
JF161731.1.1357,70.486664,-20.088717
HM276314.1.1357,70.5682,28.122496
JF161568.1.1377,11.19451,7.740177
AJ853503.1.1447,-38.101902,22.655754
JF159724.1.1335,4.853427,53.09667
HQ716701.1.1438,9.527625,-35.033268
JF095834.1.1347,64.15828,21.945202
JF240255.1.1377,11.165303,7.8031254
AY858477.1.1491,3.220926,-9.305711
JF161693.1.1351,-28.051416,-67.34043
JF231503.1.1387,57.56791,10.058653
JF221453.1.1349,-24.673147,17.383265
AY684405.1.1439,-25.454044,-53.81927
HM278922.1.1358,70.07692,27.67454
HQ716529.1.1456,11.997563,-45.78142
AY862394.1.1486,57.530518,10.212655
JF124766.1.1334,4.8505993,53.05291
HM124168.1.1487,-28.729563,65.84366
HM124291.1.1491,-11.761552,1.948926
GU940672.1.1378,38.556686,-10.652497
AY858448.1.1510,24.0209,26.789043
AF473837.1.1440,29.712723,43.795742
AB490801.1.1479,-28.565775,-35.99288
AB626927.1.1498,-54.21241,28.662792
AB331897.1.1481,-17.14954,-38.381565
HM124115.1.1468,-85.67118,18.765505
AF142062.1.1430,37.08618,10.846561
HQ283402.1.1494,53.31099,-0.80917114
HM124281.1.1494,59.066666,-7.9951463
HM124280.1.1500,-52.46563,30.430826
HM124142.1.1495,-51.5208,32.01259
HM123925.1.1500,-54.122505,28.129345
AJ518873.1.1461,0.79436386,-77.562164
HM123913.1.1490,-38.617756,37.39417
AJ853585.1.1447,-37.24087,20.080023
AB626948.1.1493,-27.81761,-19.966187
HM124151.1.1464,-85.18534,20.695606
HM123990.1.1495,-50.7727,32.2123
CEAB01031011.1379.2868,-85.26684,20.323076
HM124157.1.1485,18.729265,51.647945
HM123923.1.1492,70.48516,-20.42514
AB626919.1.1479,-52.204407,-38.908554
KC873097.1.1334,39.464996,1.1541123
HM124050.1.1492,69.537575,-22.060303
HM123886.1.1471,-15.349938,13.143354
GU940716.1.1366,53.13948,16.198223
HM124289.1.1493,-53.6473,28.580858
AB559618.1.1515,22.71945,61.173584
HM124170.1.1515,19.313046,14.256074
AB626931.1.1494,-3.1940641,-44.344227
AB559621.1.1499,51.365303,39.18165
HM124083.1.1490,-17.295591,-38.22145
HM124019.1.1491,9.640557,-34.930706
HM124161.1.1498,-50.88075,31.27606
HM124176.1.1473,-43.83773,55.743233
GU940784.1.1385,17.67065,11.073528
