0,t-SNE1,t-SNE2
AJ315979.1.1406,28.90732,12.257467
JF154739.1.1369,38.39065,2.4092455
HQ716630.1.1359,-45.46821,47.461212
JF237744.1.1361,-16.895283,-53.076942
JF163633.1.1360,-19.116209,-50.556847
JF172118.1.1354,-34.69744,4.9858847
JF227828.1.1308,-39.180843,-34.92381
JF184055.1.1362,-7.153692,-13.67087
JF146311.1.1361,-10.621941,-38.780968
JF228043.1.1349,-23.566845,-39.41608
JF029412.1.1373,13.948707,-0.85775
HM274530.1.1342,-26.144297,-38.244644
HQ877677.1.1435,1.5247197,-25.847984
JF044111.1.1379,-9.777973,28.329365
JF176662.1.1382,7.2432966,-49.431942
JF146374.1.1356,-17.615345,-51.988495
HQ716576.1.1480,-41.177124,3.8900971
JF229141.1.1340,-18.663654,-34.840893
JF203190.1.1346,-24.505598,-38.79716
JF217665.1.1354,-10.91481,-47.33506
JF186313.1.1347,37.588593,0.1732494
JF173953.1.1367,-19.6086,-36.35337
JF188540.1.1365,38.037674,-3.4266071
JF241759.1.1361,-14.882289,-47.655373
HM294795.1.1361,44.43953,37.478992
JF160112.1.1371,12.499639,-10.698881
JF142362.1.1383,37.66175,5.3126345
JF161086.1.1352,45.507343,19.681202
HQ716193.1.1362,-42.245285,42.29174
AY571668.1.1382,0.41860008,-25.749958
JF120720.1.1366,0.10408812,-40.163258
AF371757.1.1435,-1.8919488,36.23888
JF096707.1.1375,-5.969542,-37.291416
JF172015.1.1361,-20.75671,-36.210476
AF371914.1.1431,-24.233416,-20.162748
JF048255.1.1354,19.011406,2.3596277
U96297.1.1423,-53.62468,-12.63436
JF176996.1.1360,18.660454,2.200684
JF198707.1.1359,39.340626,44.87984
JF171722.1.1334,-25.575634,9.87689
HQ716489.1.1446,-1.1773113,33.218906
JF210939.1.1357,-22.993193,-35.826344
AY721625.1.1490,-23.716835,21.38997
JF241502.1.1380,-2.9054673,-21.7257
HM278809.1.1347,-24.257013,-37.217804
HM333224.1.1347,-20.40291,-35.50054
AF143835.1.1303,-20.975695,-13.738544
AY676491.1.1479,-5.197368,-79.75464
HQ716617.1.1511,-17.7862,9.149242
HM310061.1.1351,-12.875084,-51.093678
HQ716421.1.1366,-9.479984,37.443844
JF064395.1.1378,15.660464,0.03102821
JF110835.1.1384,-6.499655,-32.78692
JF220832.1.1358,-23.713402,-34.743374
HQ716109.1.1388,-43.0963,37.886257
JF198578.1.1357,10.3654,-56.063877
JF045838.1.1372,7.2313385,-62.447056
EU008088.1.1549,-36.56858,-44.30986
HM285653.1.1330,-19.542034,-20.383335
JF231357.1.1355,-23.561102,-39.137043
HM313084.1.1306,-37.074364,-40.888683
HM263244.1.1354,-14.544588,22.85931
JF202999.1.1355,-12.833584,-48.70752
AY644475.1.1526,-23.464714,-38.613968
AB185776.1.1501,-7.3340845,30.307066
HQ716246.1.1462,-31.584007,14.600824
AY663435.1.1430,-40.187748,-36.82837
HM249549.1.1366,38.912056,-2.2858431
JF176422.1.1365,44.4004,21.997362
HM319012.1.1341,-23.336298,-39.60663
JF218944.1.1353,-36.790657,-27.653973
AY294218.1.1409,-39.990074,-34.09163
GU592681.1.1369,-14.918208,-52.712265
JF090188.1.1364,-9.584696,-47.25124
JF183959.1.1367,-18.533201,-34.889305
AJ576350.1.1454,6.2560215,-60.398632
AF371675.1.1449,-36.18413,-5.950518
HM325417.1.1361,-18.208284,-53.541065
JF105630.1.1385,39.2315,0.60649574
JF128502.1.1359,25.394655,2.8917243
HM257477.1.1350,-22.966778,-38.954605
JF163596.1.1351,43.84994,17.932585
JF152180.1.1335,43.204872,36.82317
JF189240.1.1303,-39.586884,-34.678806
JF197159.1.1360,-15.590282,-52.08612
AB185810.1.1527,-2.9255464,-21.876436
HM308990.1.1306,-55.34163,38.488632
AY538696.1.1466,-38.3911,15.914098
HQ716607.1.1533,-8.413831,43.018803
HM308160.1.1357,-43.600334,-12.196787
JF220976.1.1376,-7.0295944,-37.611565
AY138237.1.1441,-36.89343,-26.071455
JF239178.1.1371,-5.8048024,-37.19242
HM283141.1.1350,-34.454216,4.8699875
JF240952.1.1351,15.775527,-19.782911
HM306299.1.1372,-35.827187,-41.724747
JF168303.1.1318,0.4549057,-27.59912
JF151070.1.1361,-19.537178,-52.309757
JF128995.1.1359,13.697516,9.094027
