task,source,disease,fid,group,importance,importance_sample_pooled,importance_fold_pooled
lodo,grad,AS,DQ799182.1.1290,Ctrl,-0.025575034209685876,-0.025575034209685876,-0.025575034209685876
lodo,grad,AS,JQ455259.1.1251,Ctrl,-0.01644197411815756,-0.01644197411815756,-0.01644197411815756
lodo,grad,AS,FJ366406.1.1235,Ctrl,-0.013046401351108627,-0.013046401351108627,-0.013046401351108627
lodo,grad,AS,DQ800246.1.1225,Ctrl,-0.012357031953159141,-0.012357031953159141,-0.012357031953159141
lodo,grad,AS,AM943044.1.1276,Ctrl,-0.01185609153481015,-0.01185609153481015,-0.01185609153481015
lodo,grad,AS,KX389980.1.1206,Ctrl,-0.011387176986746801,-0.011387176986746801,-0.011387176986746801
lodo,grad,AS,DQ808480.1.1376,Ctrl,-0.008598164946512466,-0.008598164946512466,-0.008598164946512466
lodo,grad,AS,FJ371191.1.1358,Ctrl,-0.008479541848575089,-0.008479541848575089,-0.008479541848575089
lodo,grad,AS,JX095586.1.1229,Ctrl,-0.008404633167648237,-0.008404633167648237,-0.008404633167648237
lodo,grad,AS,AY992211.1.1268,Ctrl,-0.008315630838535294,-0.008315630838535294,-0.008315630838535294
lodo,grad,AS,ABQC02000019.758957.760260,Ctrl,-0.006923642757159948,-0.006923642757159948,-0.006923642757159948
lodo,grad,AS,KF842080.1.1260,Ctrl,-0.006491470089270179,-0.006491470089270179,-0.006491470089270179
lodo,grad,AS,FJ032489.1.1260,Ctrl,-0.006204455972266831,-0.006204455972266831,-0.006204455972266831
lodo,grad,AS,DQ807131.1.1283,Ctrl,-0.005978748295230392,-0.005978748295230392,-0.005978748295230392
lodo,grad,AS,EF451624.1.1246,Ctrl,-0.005802593349970645,-0.005802593349970645,-0.005802593349970645
lodo,grad,AS,FJ382054.1.1201,Ctrl,-0.005720685993742898,-0.005720685993742898,-0.005720685993742898
lodo,grad,AS,DQ824266.1.1288,Ctrl,-0.005574998510937608,-0.005574998510937608,-0.005574998510937608
lodo,grad,AS,DQ800211.1.1202,Ctrl,-0.00478316506881172,-0.00478316506881172,-0.00478316506881172
lodo,grad,AS,DQ793742.1.1312,Ctrl,-0.0045664629985292735,-0.0045664629985292735,-0.0045664629985292735
lodo,grad,AS,FJ371750.1.1233,Ctrl,-0.004091603365093363,-0.004091603365093363,-0.004091603365093363
lodo,grad,AS,DQ807031.1.1284,Ctrl,-0.004069530223818179,-0.004069530223818179,-0.004069530223818179
lodo,grad,AS,FJ370559.1.1226,Ctrl,-0.004021538966786688,-0.004021538966786688,-0.004021538966786688
lodo,grad,AS,DQ797836.1.1210,Ctrl,-0.003790988053061072,-0.003790988053061072,-0.003790988053061072
lodo,grad,AS,FJ362935.1.1246,Ctrl,-0.003745880184091328,-0.003745880184091328,-0.003745880184091328
lodo,grad,AS,DQ794179.1.1290,Ctrl,-0.0036633336863923184,-0.0036633336863923184,-0.0036633336863923184
lodo,grad,AS,FJ364454.1.1206,Ctrl,-0.003643437619297766,-0.003643437619297766,-0.003643437619297766
lodo,grad,AS,DQ809255.1.1206,Ctrl,-0.0036155703338428824,-0.0036155703338428824,-0.0036155703338428824
lodo,grad,AS,FJ364871.1.1208,Ctrl,-0.0035764783145177522,-0.0035764783145177522,-0.0035764783145177522
lodo,grad,AS,GQ448540.1.1202,Ctrl,-0.0034957601657210255,-0.0034957601657210255,-0.0034957601657210255
lodo,grad,AS,FJ363658.1.1358,Ctrl,-0.0033751781109518327,-0.0033751781109518327,-0.0033751781109518327
lodo,grad,AS,FJ362701.1.1206,Ctrl,-0.003364076698756915,-0.003364076698756915,-0.003364076698756915
