task,source,disease,fid,group,importance,importance_sample_pooled,importance_fold_pooled
disease,attn,CRC,FJ432378.1.1202,Ctrl,-3.7377435380835173,-3.7377435380835173,-3.7377435380835173
disease,attn,CRC,AB639144.1.1469,Ctrl,-2.517555716250399,-2.517555716250399,-2.517555716250399
disease,attn,CRC,JQ455437.1.1278,Ctrl,-1.526844822106892,-1.526844822106892,-1.526844822106892
disease,attn,CRC,KJ574409.1.1223,Ctrl,-0.9991355978020142,-0.9991355978020142,-0.9991355978020142
disease,attn,CRC,EF026154.1.1200,Ctrl,-0.732083314690142,-0.732083314690142,-0.732083314690142
disease,attn,CRC,FJ371195.1.1316,Ctrl,-0.601825462491171,-0.601825462491171,-0.601825462491171
disease,attn,CRC,KP330262.1.1200,Ctrl,-0.4257428879038605,-0.4257428879038605,-0.4257428879038605
disease,attn,CRC,GQ144701.1.1205,Ctrl,-0.3968519420789421,-0.3968519420789421,-0.3968519420789421
disease,attn,CRC,GQ492470.1.1319,Ctrl,-0.34932393346720164,-0.34932393346720164,-0.34932393346720164
disease,attn,CRC,EU774184.1.1387,Ctrl,-0.33997365581743816,-0.33997365581743816,-0.33997365581743816
disease,attn,CRC,JX030308.1.1232,Ctrl,-0.31258736846651136,-0.31258736846651136,-0.31258736846651136
disease,attn,CRC,FJ369308.1.1240,Ctrl,-0.30702892796555736,-0.30702892796555736,-0.30702892796555736
disease,attn,CRC,KF842582.1.1388,Ctrl,-0.3032440729831129,-0.3032440729831129,-0.3032440729831129
disease,attn,CRC,DQ800246.1.1225,Ctrl,-0.3022521413125369,-0.3022521413125369,-0.3022521413125369
disease,attn,CRC,DQ807131.1.1283,Ctrl,-0.29810843317108665,-0.29810843317108665,-0.29810843317108665
disease,attn,CRC,KY983579.1.1217,Ctrl,-0.2921535683856705,-0.2921535683856705,-0.2921535683856705
disease,attn,CRC,FJ369196.1.1353,Ctrl,-0.2784243837005794,-0.2784243837005794,-0.2784243837005794
disease,attn,CRC,MK131295.1.1339,Ctrl,-0.2738451602610695,-0.2738451602610695,-0.2738451602610695
disease,attn,CRC,JQ187213.1.1363,Ctrl,-0.26626233895444384,-0.26626233895444384,-0.26626233895444384
disease,attn,CRC,HK240304.1.1331,Ctrl,-0.24019732693956974,-0.24019732693956974,-0.24019732693956974
disease,attn,CRC,HQ766049.1.1250,Ctrl,-0.22991456641250904,-0.22991456641250904,-0.22991456641250904
disease,attn,CRC,HQ806883.1.1241,Ctrl,-0.226115117182805,-0.226115117182805,-0.226115117182805
disease,attn,CRC,DQ799352.1.1291,Ctrl,-0.2054840332555028,-0.2054840332555028,-0.2054840332555028
disease,attn,CRC,JX095969.1.1221,Ctrl,-0.19654501223182214,-0.19654501223182214,-0.19654501223182214
disease,attn,CRC,JQ186757.1.1359,Ctrl,-0.19264190432046077,-0.19264190432046077,-0.19264190432046077
disease,attn,CRC,GQ897604.1.1489,Ctrl,-0.19124671489786957,-0.19124671489786957,-0.19124671489786957
disease,attn,CRC,KF842758.1.1325,Ctrl,-0.19087353558866543,-0.19087353558866543,-0.19087353558866543
disease,attn,CRC,EF400373.1.1492,Ctrl,-0.1837668651443389,-0.1837668651443389,-0.1837668651443389
disease,attn,CRC,EU475681.1.1364,Ctrl,-0.18333874416861412,-0.18333874416861412,-0.18333874416861412
disease,attn,CRC,JQ207644.1.1336,Ctrl,-0.1809177516945326,-0.1809177516945326,-0.1809177516945326
disease,attn,CRC,DQ809511.1.1390,Ctrl,-0.16052327959254595,-0.16052327959254595,-0.16052327959254595
disease,attn,CRC,EU472152.1.1397,Ctrl,-0.16034254478715243,-0.16034254478715243,-0.16034254478715243
disease,attn,CRC,JQ465376.1.1220,Ctrl,-0.16032615323785282,-0.16032615323785282,-0.16032615323785282
disease,attn,CRC,EU463379.1.1288,Ctrl,-0.15499887731829293,-0.15499887731829293,-0.15499887731829293
disease,attn,CRC,GU432132.1.1203,Ctrl,-0.1544543495093435,-0.1544543495093435,-0.1544543495093435
disease,attn,CRC,JN639385.1.1262,Ctrl,-0.15277769165696573,-0.15277769165696573,-0.15277769165696573
disease,attn,CRC,FJ510229.1.1386,Ctrl,-0.15109035472602994,-0.15109035472602994,-0.15109035472602994
disease,attn,CRC,MF461119.1.1200,Ctrl,-0.14923942665697915,-0.14923942665697915,-0.14923942665697915
disease,attn,CRC,DQ800502.1.1288,Ctrl,-0.14654707913490667,-0.14654707913490667,-0.14654707913490667
