otu,mean_rank,mean_abs,mean_signed
FJ364454.1.1206,1.0,0.006036732531029558,-0.006036732531029558
GQ491160.1.1334,2.0,0.005660633775137953,0.005660633775137953
DQ809255.1.1206,3.0,0.005629139093947672,-0.005629139093947672
JX048342.1.1227,4.0,0.005542054108743729,-0.005542054108743729
GQ358260.1.1206,5.0,0.00423311690913228,0.00423311690913228
DQ824266.1.1288,6.0,0.004118951635619172,-0.004118951635619172
LARF01000109.1.1225,7.0,0.0038853186842498413,-0.0038249589976912454
JX030308.1.1232,8.0,0.0037605631389451533,-0.0037605631389451533
KJ412985.1.1234,9.0,0.003694676258458491,0.003694676258458491
JQ607033.1.1325,10.0,0.0036044458854897856,0.0036044458854897856
HQ807131.1.1274,11.0,0.003345839160122474,0.003345839160122474
ABQC02000019.758957.760260,12.0,0.00332646352444317,-0.00332646352444317
DQ797636.1.1248,13.0,0.00322388772676307,-0.00322388772676307
AY985764.1.1362,14.0,0.0032216132453712918,0.0032216132453712918
EF071253.1.1234,15.0,0.0031912246555090423,-0.0031912246555090423
JQ465376.1.1220,16.0,0.0031031727305951833,0.0031031727305951833
JQ455365.1.1268,17.0,0.0030653204193066418,-0.0030653204193066418
FJ032391.1.1254,18.0,0.003028491198749828,-0.003028491198749828
HQ808998.1.1217,19.0,0.0030018163525486197,-0.0030018163525486197
ACBX02000025.1.1217,20.0,0.002919051969969908,-0.002919051969969908
KX130890.1.1202,21.0,0.0027022899586539324,0.0027022899586539324
DQ808288.1.1299,22.0,0.002369534973921275,0.002369534973921275
FJ362935.1.1246,23.0,0.002332780503106776,-0.002332780503106776
HK693740.1.1297,24.0,0.002260155190164388,-0.002260155190164388
EF096145.1.1253,25.0,0.0021889359057806635,0.0021889359057806635
FJ370559.1.1226,26.0,0.002151264671221537,-0.002151264671221537
JQ467834.1.1286,27.0,0.0021510300814643595,0.0021510300814643595
HK555826.1.1289,28.0,0.002120442556879089,-0.002120442556879089
FJ509926.1.1367,29.0,0.0021111052983750615,-0.0021111052983750615
DQ795411.1.1205,30.0,0.0020767443450726173,0.0020767443450726173
