otu,n_folds_in_top,mean_rank,mean_abs,mean_signed,frac_folds
JQ467804.1.1375,5,8.4,0.011961123613156493,0.011961123613156493,0.7142857142857143
GQ491160.1.1334,4,10.5,0.014120306468430634,0.014120306468430634,0.5714285714285714
JQ467142.1.1299,4,6.75,0.011236587634371992,0.011236587634371992,0.5714285714285714
JQ449887.1.1241,4,16.75,0.009052485475261723,0.009052485475261723,0.5714285714285714
EU762506.1.1327,3,8.333333333333334,0.024179154184858217,0.024179154184858217,0.42857142857142855
FJ557734.1.1287,3,2.0,0.023153618336838763,0.023153618336838763,0.42857142857142855
GQ492466.1.1344,3,13.666666666666666,0.008551695536328912,-0.008551695536328912,0.42857142857142855
DQ806128.1.1290,3,12.666666666666666,0.007341447290205242,0.007341447290205242,0.42857142857142855
AY850461.1.1228,3,19.666666666666668,0.006947073485255233,-0.006947073485255233,0.42857142857142855
DQ803441.1.1240,3,13.0,0.006937838433785062,-0.006937838433785062,0.42857142857142855
FJ362935.1.1246,3,18.666666666666668,0.006724823720600193,-0.006724823720600193,0.42857142857142855
FJ371815.1.1309,3,22.0,0.006628691561142972,0.006628691561142972,0.42857142857142855
FJ371314.1.1260,3,22.333333333333332,0.005401940069760885,-0.005401940069760885,0.42857142857142855
JQ455437.1.1278,2,13.5,0.03750987919317795,0.03750987919317795,0.2857142857142857
FJ365305.1.1340,2,11.5,0.019594834453755247,-0.019594834453755247,0.2857142857142857
EU768772.1.1356,2,17.0,0.01564951560806399,0.01564951560806399,0.2857142857142857
FJ371191.1.1358,2,15.0,0.015099692651189128,-0.015099692651189128,0.2857142857142857
KJ412985.1.1234,2,12.0,0.014853442689163613,-0.014831552485605741,0.2857142857142857
GQ014747.1.1357,2,6.0,0.013764034988228417,0.013764034988228417,0.2857142857142857
EU762681.1.1284,2,16.0,0.012114717078833853,0.012114717078833853,0.2857142857142857
HK694993.1.1204,2,11.5,0.01136910388563997,0.01136910388563997,0.2857142857142857
FJ362794.1.1265,2,16.5,0.010789207654677118,-0.010789207654677118,0.2857142857142857
LC099978.1.1200,2,11.0,0.00911825301124584,0.00911825301124584,0.2857142857142857
FJ371179.1.1259,2,10.5,0.008588998310795772,-0.008588998310795772,0.2857142857142857
DQ804453.1.1250,2,23.5,0.007522122913291059,-0.007522122913291059,0.2857142857142857
DQ803925.1.1280,2,19.0,0.007322601787735093,-0.007322601787735093,0.2857142857142857
GU432132.1.1203,2,14.5,0.0071196446940414455,0.0071196446940414455,0.2857142857142857
KF100359.1.1360,2,17.0,0.006634292585472303,0.006634292585472303,0.2857142857142857
JQ460165.1.1205,2,16.0,0.006605834655848962,0.006605834655848962,0.2857142857142857
KX792217.1.1200,2,23.5,0.006507230048605326,0.006507230048605326,0.2857142857142857
DQ806834.1.1287,2,26.5,0.006210050862891235,-0.006210050862891235,0.2857142857142857
LARF01000109.1.1225,2,19.0,0.006193292428106455,0.006132652747993365,0.2857142857142857
