task,source,disease,fid,group,importance,importance_sample_pooled,importance_fold_pooled
disease,grad,CRC,FJ362935.1.1246,Ctrl,-0.006300375622916514,-0.006300375622916514,-0.006528804060538732
disease,grad,CRC,FJ365305.1.1340,Ctrl,-0.0056572239698129,-0.0056572239698129,-0.006264235500936068
disease,grad,CRC,DQ807131.1.1283,Ctrl,-0.005437382025346111,-0.005437382025346111,-0.003573586216183997
disease,grad,CRC,DQ803441.1.1240,Ctrl,-0.005083566037406226,-0.005083566037406226,-0.004708983621569309
disease,grad,CRC,FJ371314.1.1260,Ctrl,-0.00452711198901012,-0.00452711198901012,-0.004386079632740555
disease,grad,CRC,FJ366783.1.1350,Ctrl,-0.004472263972711376,-0.004472263972711376,-0.006476082765351201
disease,grad,CRC,GQ492466.1.1344,Ctrl,-0.004228333208551267,-0.004228333208551267,-0.004214022769147411
disease,grad,CRC,FJ371179.1.1259,Ctrl,-0.0039043717358895626,-0.0039043717358895626,-0.004115682510989418
disease,grad,CRC,FJ371191.1.1358,Ctrl,-0.003613877589840933,-0.003613877589840933,-0.005122207508832373
disease,grad,CRC,DQ803925.1.1280,Ctrl,-0.003596168867411908,-0.003596168867411908,-0.0034587011324257776
disease,grad,CRC,AY850461.1.1228,Ctrl,-0.0035678968256177028,-0.0035678968256177028,-0.0036053375881687105
disease,grad,CRC,JF203236.1.1325,Ctrl,-0.003345796549116543,-0.003345796549116543,-0.004748512370839118
disease,grad,CRC,KJ412985.1.1234,Ctrl,-0.0033059735013552713,-0.0033059735013552713,-0.005329615202246811
disease,grad,CRC,FJ372027.1.1333,Ctrl,-0.0027297145633757266,-0.0027297145633757266,-0.002064712893446848
disease,grad,CRC,DQ804326.1.1231,Ctrl,-0.002704981399458904,-0.002704981399458904,-0.002149700982310419
disease,grad,CRC,EU468188.1.1250,Ctrl,-0.0026829055126935454,-0.0026829055126935454,-0.0020768033922534098
disease,grad,CRC,GQ491279.1.1262,Ctrl,-0.0026494940554260132,-0.0026494940554260132,-0.003449929506753415
disease,grad,CRC,DQ794179.1.1290,Ctrl,-0.0025509812213822037,-0.0025509812213822037,-0.0026210965255675433
disease,grad,CRC,DQ809023.1.1214,Ctrl,-0.00252385603379248,-0.00252385603379248,-0.0020262163556327155
disease,grad,CRC,DQ905725.1.1572,Ctrl,-0.0024683396182878362,-0.0024683396182878362,-0.0029312374273294333
disease,grad,CRC,FJ753830.1.1232,Ctrl,-0.002409250881791979,-0.002409250881791979,-0.0021960144513606308
disease,grad,CRC,GQ491615.1.1357,Ctrl,-0.0023908486923785916,-0.0023908486923785916,-0.0034207057532773294
disease,grad,CRC,DQ795255.1.1218,Ctrl,-0.00237449630346204,-0.00237449630346204,-0.0022909800929956517
disease,grad,CRC,EU530381.1.1295,Ctrl,-0.002368770759246049,-0.002368770759246049,-0.0018618591666562222
disease,grad,CRC,ABIK02000013.103269.104574,Ctrl,-0.0023340470443739348,-0.0023340470443739348,-0.0018175431694256732
disease,grad,CRC,DQ799182.1.1290,Ctrl,-0.002328838801405874,-0.002328838801405874,-0.0016658188379429211
disease,grad,CRC,DQ804453.1.1250,Ctrl,-0.002281873524539122,-0.002281873524539122,-0.002149177975226017
disease,grad,CRC,DQ798000.1.1401,Ctrl,-0.0022328803593384783,-0.0022328803593384783,-0.003207040280595225
disease,grad,CRC,GQ491404.1.1333,Ctrl,-0.002231307881539305,-0.002231307881539305,-0.0032000496373781845
disease,grad,CRC,FJ382054.1.1201,Ctrl,-0.002199396743830994,-0.002199396743830994,-0.0017817423409080093
disease,grad,CRC,DQ793742.1.1312,Ctrl,-0.0021895948538183355,-0.0021895948538183355,-0.0017433643696336384
disease,grad,CRC,AY850463.1.1224,Ctrl,-0.0021355861428624793,-0.0021355861428624793,-0.0022255915701549266
disease,grad,CRC,AF132280.1.1277,Ctrl,-0.0021201838651060323,-0.0021201838651060323,-0.002054034114352241
disease,grad,CRC,DQ809069.1.1219,Ctrl,-0.0021145121075155544,-0.0021145121075155544,-0.0023025976021813807
disease,grad,CRC,DQ807031.1.1284,Ctrl,-0.0020751601074531765,-0.0020751601074531765,-0.002190187495825369
disease,grad,CRC,FJ362794.1.1265,Ctrl,-0.0020419500936735965,-0.0020419500936735965,-0.0028687858319786327
disease,grad,CRC,DQ800564.1.1381,Ctrl,-0.0019445159604813554,-0.0019445159604813554,-0.0021632329519212057
disease,grad,CRC,DQ802678.1.1231,Ctrl,-0.0019404404249240331,-0.0019404404249240331,-0.001622242037385724
disease,grad,CRC,DQ808288.1.1299,Ctrl,-0.0019354302670429198,-0.0019354302670429198,-0.0015168587284403634
disease,grad,CRC,GQ491970.1.1359,Ctrl,-0.0019284928219466117,-0.0019284928219466117,-0.0027222476193039503
disease,grad,CRC,DQ806834.1.1287,Ctrl,-0.0019255499967754585,-0.0019255499967754585,-0.0020769326515110388
disease,grad,CRC,DQ794978.1.1285,Ctrl,-0.0019185554285029674,-0.0019185554285029674,-0.0018625953882932921
disease,grad,CRC,HQ808998.1.1217,Ctrl,-0.0018929142004771,-0.0018929142004771,-0.002007040964082802
disease,grad,CRC,FJ364454.1.1206,Ctrl,-0.001787674217601853,-0.001787674217601853,-0.0014338085203943036
disease,grad,CRC,ABQC02000019.758957.760260,Ctrl,-0.0017711379164183489,-0.0017711379164183489,-0.0026822434604653203
disease,grad,CRC,LN998062.1.1487,Ctrl,-0.0017367160199157508,-0.0017367160199157508,-0.00251307943488654
disease,grad,CRC,DQ326785.1.1353,Ctrl,-0.0017228733385443843,-0.0017228733385443843,-0.0011441181852633617
disease,grad,CRC,DQ809022.1.1286,Ctrl,-0.0017101803235053616,-0.0017101803235053616,-0.0018747041238788827
disease,grad,CRC,DQ808965.1.1273,Ctrl,-0.0016729703902998428,-0.0016729703902998428,-0.0016735611387028435
disease,grad,CRC,FJ371591.1.1208,Ctrl,-0.001666325022176788,-0.001666325022176788,-0.001622459123987326
disease,grad,CRC,DQ804905.1.1307,CRC,0.002443189520741908,0.002443189520741908,0.001627140884461619
disease,grad,CRC,EU763456.1.1359,CRC,0.002448315546591656,0.002448315546591656,0.003533828381461755
disease,grad,CRC,EU767275.1.1355,CRC,0.002465868001707166,0.002465868001707166,0.0025578152024396212
disease,grad,CRC,DQ799373.1.1400,CRC,0.0024924890262312746,0.0024924890262312746,0.0036095210078356224
disease,grad,CRC,MNQJ01000155.1819.3121,CRC,0.002530991440155497,0.002530991440155497,0.001874870605211864
disease,grad,CRC,AF499899.1.1248,CRC,0.0025498621687620295,0.0025498621687620295,0.0025666626226227463
disease,grad,CRC,GQ493408.1.1209,CRC,0.0025639383836218764,0.0025639383836218764,0.00166154186802535
disease,grad,CRC,FJ366505.1.1299,CRC,0.00256451128629416,0.00256451128629416,0.0024298190117471967
disease,grad,CRC,AY653235.1.1324,CRC,0.0025813748170042216,0.0025813748170042216,0.002531264237894273
disease,grad,CRC,HQ806883.1.1241,CRC,0.0025815301128268462,0.0025815301128268462,0.0024277303362047974
