task,source,disease,emb_type,silhouette,p_shuffle,mds_stress,n_markers
lodo,grad,AS,Phylo,0.00877255209484045,0.026,738.4250796759391,100
lodo,grad,AS,SNE,0.13938710154076978,0.001,266.59622390955093,100
lodo,grad,ASD,Phylo,0.008465016259080079,0.036,745.5740099804161,100
lodo,grad,ASD,SNE,0.08865500214392545,0.001,205.02504959574213,100
lodo,grad,BD,Phylo,-0.004759602843728619,0.907,736.7814468822488,100
lodo,grad,BD,SNE,0.08111760367097874,0.001,203.20948457471724,100
lodo,grad,CAD,Phylo,0.016937318223874093,0.001,753.9085234519305,100
lodo,grad,CAD,SNE,0.08281227035336322,0.001,315.3090377984164,100
lodo,grad,CRC,Phylo,0.009241923744053188,0.027,730.8945395736376,100
lodo,grad,CRC,SNE,0.14582529266818378,0.001,269.1967733532148,100
lodo,grad,GD,Phylo,0.008337296882969159,0.008,795.585583745446,100
lodo,grad,GD,SNE,0.07789171480868232,0.001,198.70664227118388,100
lodo,grad,IBD,Phylo,0.012104968200233828,0.004,732.4502272410222,100
lodo,grad,IBD,SNE,0.1845331404258792,0.001,209.97101519099706,100
lodo,grad,IBS,Phylo,0.004263728835404234,0.146,748.8363755078872,100
lodo,grad,IBS,SNE,0.13365884188176785,0.001,150.4115262619702,100
lodo,grad,MS,Phylo,0.016657140535318814,0.002,700.16042804348,100
lodo,grad,MS,SNE,0.1086672025169944,0.001,274.9240455132532,100
lodo,grad,OB,Phylo,0.002701395177158456,0.216,776.6203016769867,100
lodo,grad,OB,SNE,0.0931961869142256,0.001,186.88616429882305,100
lodo,grad,PD,Phylo,0.010501807326295852,0.007,741.7788499486451,100
lodo,grad,PD,SNE,0.199749082490557,0.001,226.96841319326774,100
lodo,grad,SZ,Phylo,0.0097507999270126,0.012,764.3732536414227,100
lodo,grad,SZ,SNE,0.12195674162998044,0.001,229.63102910402682,100
lodo,grad,T2DM,Phylo,0.012067630907965332,0.01,744.840792077297,100
lodo,grad,T2DM,SNE,0.1260868129960354,0.001,272.1441117747391,100
