otu,mean_rank_diff,case_minus_control,enrichment
HQ794629.1.1311,1.0,-1.8004224756016112,2.913859250993241
JQ467142.1.1299,2.0,1.5411981689115926,2.0292518341137784
AM943044.1.1276,3.0,1.3930011860965656,3.0856493643130474
KP334252.1.1211,4.0,-1.0782411656226185,0.6578154310617802
LC190799.1.1211,5.0,0.9828402001193792,1.4099796432846061
FJ558058.1.1360,6.0,0.9771719584102649,1.540250287601892
FJ557765.1.1386,7.0,0.8770556990868633,1.0025021178570332
KC894545.1.1511,8.0,-0.8678788463370573,0.24253321443179662
JQ470107.1.1403,9.0,0.8297281870643795,0.7986229518352124
JQ072269.1.1450,10.0,-0.8103021310028062,0.4870617314534595
JQ455259.1.1251,11.0,-0.761165295986344,2.6549303831011173
HQ781028.1.1329,12.0,-0.6950698615917009,0.5216708567626535
FJ557746.1.1357,13.0,0.6701321625330598,0.5941794076474494
AB733112.1.1328,14.0,0.6264408862722151,0.6779129988692683
ET775070.1.1411,15.0,-0.591714098694613,0.19660575451492984
MH813973.1.1314,16.0,0.5779097724236231,0.8110460667996919
DQ800246.1.1225,17.0,0.5682305529777536,1.088496341585781
JQ460078.1.1253,18.0,0.5671347610250075,0.8040819130668992
ET469265.1.1262,19.0,-0.5380177763905598,0.5301869379534485
ET776373.1.1285,20.0,-0.5289010720709619,0.1654198591577433
ET774350.1.1258,21.0,-0.5049354225930891,0.5551722121501396
JQ456273.1.1334,22.0,-0.50298674285337,0.12310864335571992
ET779041.1.1251,23.0,-0.4800555105077712,0.6420799185772946
HM779421.1.1212,24.0,-0.47910571945219654,0.22845515014718318
FJ371857.1.1374,25.0,-0.47565665937168533,0.5034290461193374
FJ511828.1.1372,26.0,-0.47038747042175916,0.20161218790935193
ET767275.1.1355,27.0,-0.46875280984215595,1.0089864992722624
ET767240.1.1347,28.0,0.4633918358857873,0.8090870981834303
DQ807131.1.1283,29.0,0.46326725622493825,1.6394251176722459
AF338413.1.1408,30.0,0.4617939583850212,0.348767465074002
