fold,disease,spearman_attn_vs_grad,top30_overlap
CRC_PRJDB11845,CRC,0.8143845931065746,19
CRC_PRJEB36789,CRC,0.7470477226833662,11
CRC_PRJEB6070,CRC,0.7370367117129671,17
CRC_PRJNA290926,CRC,0.8153903900385451,12
CRC_PRJNA318004,CRC,0.8154353728326974,16
CRC_PRJNA430990,CRC,0.8214227127282776,17
CRC_PRJNA824020,CRC,0.6309958660026472,14
IBD_PRJNA324147,IBD,0.6420340041344403,14
IBD_PRJNA368966,IBD,0.7530739320949961,18
IBD_PRJNA422193,IBD,0.743094680316449,4
IBD_PRJNA431126,IBD,0.7404625631140341,11
IBD_PRJNA450340,IBD,0.7511604089778159,9
IBD_RISK_PRISM_f,IBD,0.8184479929428575,12
IBD_qiita_1629,IBD,0.7952735022190515,15
IBD_qiita_2538,IBD,0.7905926286707159,6
