otu,mean_rank_diff,case_minus_control,enrichment
MH813973.1.1314,1.0,0.5808240831035882,0.649913475588703
JN004064.1.1431,2.0,0.4834511513951941,0.4380224990829976
JX096007.1.1204,3.0,0.4813714029947393,0.33740581693642635
KY003111.1.1207,4.0,0.43228684721894417,1.0090882965953123
ET764936.1.1278,5.0,-0.416607411104278,0.3969419774745211
ET778863.1.1253,6.0,-0.3891330187316103,0.39529012438805894
ET475866.1.1292,7.0,-0.37661292070928487,0.3425588628825884
KT324908.1.1207,8.0,-0.35255188131011206,0.6726315857778213
ET767240.1.1347,9.0,-0.3228738618412589,0.3292953603604986
AJ234058.1.1367,10.0,0.3214462778969411,0.3640375290326702
FJ558299.1.1272,11.0,0.30743077708280153,0.5381296429697477
GT432132.1.1203,12.0,-0.2920307080960448,0.335943246934006
MH447010.1.1277,13.0,0.28795165030058334,0.3990584673974151
ET767580.1.1355,14.0,0.28046806270932423,0.5010448272419467
ET530381.1.1295,15.0,0.27893374936514953,0.47418606066898616
ET774350.1.1258,16.0,-0.27791454495040036,0.43329894428861154
ET774195.1.1268,17.0,-0.2758302026429087,0.3009083443104539
AY995251.1.1356,18.0,0.27552996757804415,0.3099725680427036
ET468499.1.1202,19.0,-0.2661942028559492,0.21999541493191335
ET459837.1.1288,20.0,-0.26185626549793617,0.23450287897070637
HM308748.1.1356,21.0,0.26141225123962025,0.2816887321675347
ET763235.1.1354,22.0,-0.25584679727128423,0.27204879378079616
KF084610.1.1355,23.0,0.24848447729929446,0.2548786250616186
ET467714.1.1256,24.0,-0.24783082770217008,0.4330379306964741
ET762257.1.1356,25.0,-0.24733093720541047,0.21652657456174637
ET473498.1.1210,26.0,-0.241532756985455,0.23236982636656467
HQ766049.1.1250,27.0,0.23441624307408804,0.47204672475481285
HK240304.1.1331,28.0,-0.23425285448096933,0.19279381935085876
ET774369.1.1254,29.0,-0.22275434246273546,0.23046077163658935
ET764805.1.1340,30.0,-0.21523780740424378,0.3284132153568757
