otu,mean_rank,mean_abs,mean_signed
ACBX02000025.1.1217,1.0,0.0065627795021836795,-0.0065627795021836795
JQ455259.1.1251,2.0,0.004676687279308872,-0.004676687279308872
DQ824266.1.1288,3.0,0.00399988078274272,-0.00399988078274272
HQ807131.1.1274,4.0,0.003671755917223498,0.003671755917223498
KF842080.1.1260,5.0,0.0035225908801260176,-0.0035225908801260176
FJ366406.1.1235,6.0,0.003341550269136791,-0.003341550269136791
DQ800246.1.1225,7.0,0.0029474045226902754,-0.0029474045226902754
FJ032489.1.1260,8.0,0.0029378766661362463,-0.0029378766661362463
FJ367633.1.1229,9.0,0.0028946907332623112,-0.0028946907332623112
KX792217.1.1200,10.0,0.0028866432999309303,0.0028866432999309303
DQ796195.1.1288,11.0,0.002836880992510212,0.002836880992510212
HK693740.1.1297,12.0,0.002719613265352418,-0.002719613265352418
DQ799182.1.1290,13.0,0.002591974116846801,-0.002591974116846801
GQ338715.1.1269,14.0,0.0025813056313914303,0.0025813056313914303
FJ509926.1.1367,15.0,0.0025505136137527573,-0.0025505136137527573
FJ371750.1.1233,16.0,0.0025355511405631627,-0.0025355511405631627
KJ412985.1.1234,17.0,0.002318602577048821,0.002318602577048821
FJ369668.1.1239,18.0,0.0023038651031955424,-0.0023038651031955424
DQ809255.1.1206,19.0,0.002241368923855117,-0.002241368923855117
FJ382054.1.1201,20.0,0.00215950619604702,-0.002144968864871507
FJ362701.1.1206,21.0,0.0021504755854906753,-0.0021504755854906753
AF153858.1.1349,22.0,0.0021450966834407064,-0.0021450966834407064
DQ807031.1.1284,23.0,0.002127889807177696,-0.002127889807177696
KF843598.1.1346,24.0,0.0020706979778939813,-0.0020706979778939813
FJ362935.1.1246,25.0,0.0020427959805696732,-0.0020427959805696732
FJ366493.1.1298,26.0,0.001982420528470967,-0.001982420528470967
HK240553.1.1243,27.0,0.00181021384083087,-0.00181021384083087
DQ803441.1.1240,28.0,0.0017417138377058402,-0.0017417138377058402
DQ794179.1.1290,29.0,0.0017234639046743558,-0.0017234639046743558
DQ809347.1.1291,30.0,0.0017212487782916782,0.0017212487782916782
