task,source,fid,group,importance,n_folds_nonzero,n_folds_same_sign,n_folds
lodo,attn,HQ794629.1.1311,Ctrl,-0.14627588038072228,5,2,13
lodo,attn,JQ522962.1.1258,Ctrl,-0.13668135169426646,4,2,13
lodo,attn,JQ455259.1.1251,Ctrl,-0.10609748465700407,10,7,13
lodo,attn,MH447042.1.1230,Ctrl,-0.09767781348979167,2,2,13
lodo,attn,KP334252.1.1211,Ctrl,-0.09246594434214804,3,3,13
lodo,attn,GQ491419.1.1322,Ctrl,-0.07363200997369246,12,7,13
lodo,attn,KC894545.1.1511,Ctrl,-0.07280010036283041,10,6,13
lodo,attn,FJ362731.1.1336,Ctrl,-0.06815844574170729,13,10,13
lodo,attn,GQ491279.1.1262,Ctrl,-0.06391535057522418,13,10,13
lodo,attn,JQ072269.1.1450,Ctrl,-0.06233093315406202,1,1,13
lodo,attn,HQ781028.1.1329,Ctrl,-0.05538259878554096,3,2,13
lodo,attn,DQ797516.1.1343,Ctrl,-0.055314807600430324,13,9,13
lodo,attn,KJ874032.1.1319,Ctrl,-0.050568267564433,2,1,13
lodo,attn,DQ799182.1.1290,Ctrl,-0.05008391848429859,8,6,13
lodo,attn,HK240304.1.1331,Ctrl,-0.049163021613217714,9,7,13
lodo,attn,DQ794427.1.1242,Ctrl,-0.04847270583243736,13,10,13
lodo,attn,HL283484.1.1209,Ctrl,-0.04799320755521251,9,5,13
lodo,attn,DQ823754.1.1237,Ctrl,-0.047703600726856296,12,11,13
lodo,attn,FJ371191.1.1358,Ctrl,-0.047236774228339315,9,7,13
lodo,attn,GQ491354.1.1233,Ctrl,-0.04559567707036359,6,4,13
lodo,attn,KP644774.1.1203,Ctrl,-0.04555826103347639,11,8,13
lodo,attn,FJ509926.1.1367,Ctrl,-0.045119166520967355,12,10,13
lodo,attn,FJ362935.1.1246,Ctrl,-0.04457864454974963,13,11,13
lodo,attn,AF132280.1.1277,Ctrl,-0.04453252724200719,13,9,13
lodo,attn,JQ456273.1.1334,Ctrl,-0.04426759023919292,3,2,13
lodo,attn,KJ874096.1.1303,Ctrl,-0.04409353063378547,3,1,13
lodo,attn,KF722436.1.1288,Ctrl,-0.043264278576575894,2,1,13
lodo,attn,FJ382054.1.1201,Ctrl,-0.04317283905340322,11,9,13
lodo,attn,FJ371857.1.1374,Ctrl,-0.042468521508037635,9,4,13
