fold,disease,study,otu,mean_abs,mean_signed,rank
CRC_PRJDB11845,CRC,PRJDB11845,FJ371434.1.1338,0.07753082132090948,0.07753082132090948,1
CRC_PRJDB11845,CRC,PRJDB11845,FJ507231.1.1307,0.058938291235485316,0.058938291235485316,2
CRC_PRJDB11845,CRC,PRJDB11845,EU762506.1.1327,0.046378653226099555,0.046378653226099555,3
CRC_PRJDB11845,CRC,PRJDB11845,FJ366783.1.1350,0.04532997900894335,-0.04532997900894335,4
CRC_PRJDB11845,CRC,PRJDB11845,FJ372012.1.1342,0.03676542574619361,0.03676542574619361,5
CRC_PRJDB11845,CRC,PRJDB11845,HQ790085.1.1320,0.033823585890390244,0.033823585890390244,6
CRC_PRJDB11845,CRC,PRJDB11845,JF203236.1.1325,0.03166877298206983,-0.03166877298206983,7
CRC_PRJDB11845,CRC,PRJDB11845,FJ369308.1.1240,0.030719514170294317,0.030719514170294317,8
CRC_PRJDB11845,CRC,PRJDB11845,AM696869.1.1522,0.030432671763362642,0.030432671763362642,9
CRC_PRJDB11845,CRC,PRJDB11845,GQ491160.1.1334,0.02978274255193063,0.02978274255193063,10
CRC_PRJDB11845,CRC,PRJDB11845,GQ491922.1.1347,0.027566232303198462,0.027566232303198462,11
CRC_PRJDB11845,CRC,PRJDB11845,FJ365305.1.1340,0.026673065508132025,-0.026673065508132025,12
CRC_PRJDB11845,CRC,PRJDB11845,DQ799373.1.1400,0.025265836747383367,0.025265836747383367,13
CRC_PRJDB11845,CRC,PRJDB11845,EU763456.1.1359,0.024665164486566592,0.024665164486566592,14
CRC_PRJDB11845,CRC,PRJDB11845,EU767533.1.1322,0.024333015436823584,0.024333015436823584,15
CRC_PRJDB11845,CRC,PRJDB11845,EU768772.1.1356,0.02429965029202469,0.02429965029202469,16
CRC_PRJDB11845,CRC,PRJDB11845,FJ371191.1.1358,0.02245643246964157,-0.02245643246964157,17
CRC_PRJDB11845,CRC,PRJDB11845,DQ798000.1.1401,0.0222987142561428,-0.0222987142561428,18
CRC_PRJDB11845,CRC,PRJDB11845,FJ364354.1.1319,0.022276016491209135,0.022276016491209135,19
